#{"t_start": 1777763288.5047264, "env_id": "FetchReach-v4"}
r,l,t
-58.01099,50,0.995929
-63.564334,50,1.042367
-4.320383,5,1.046367
-62.125047,50,1.084645
-59.674635,50,1.123951
-60.614232,50,1.163328
-58.000246,50,1.204373
-25.795017,24,1.224374
-60.364851,50,1.270372
-62.936607,50,1.318873
-24.65558,23,1.351015
-58.512029,50,1.400683
-60.604551,50,1.454809
-58.053156,50,1.495562
-58.087901,50,1.53756
-0.048118,1,1.538664
-61.2094,50,1.590949
-66.120049,50,1.643949
-65.775089,50,1.691363
-61.633572,50,1.742247
-65.368338,50,1.791373
-61.816964,50,1.844708
-12.363432,12,1.854709
-55.004605,50,1.892846
-64.034136,50,1.946268
-60.688723,50,1.987267
-56.545176,50,2.032657
-57.720384,50,2.078725
-61.466387,50,2.122034
-61.867314,50,2.159688
-65.257389,50,2.202829
-62.720286,50,2.246348
-57.545602,50,2.292858
-59.019145,50,2.338517
-56.39345,50,2.380762
-56.002724,50,2.431865
-64.23477,50,2.475123
-64.365962,50,2.515655
-60.238528,50,2.565283
-58.405984,50,2.609596
-29.598569,27,2.638596
-59.412575,50,2.68094
-62.290917,50,2.728405
-15.480273,15,2.740406
-63.305112,50,2.784407
-60.816502,50,2.826965
-62.363898,50,2.867879
-62.360208,50,2.910619
-58.993243,50,2.969119
-66.037961,50,3.006699
-64.90369,50,3.055169
-62.078789,50,3.097168
-63.081761,50,3.140169
-64.482362,50,3.181259
-60.367546,50,3.225733
-65.281046,50,3.272891
-64.930855,50,3.315071
-58.663761,50,3.357652
-60.123243,50,3.394962
-60.156459,50,3.439281
-61.246364,50,3.50647
-64.634172,50,3.549954
-62.041605,50,3.593282
-62.271735,50,3.63843
-59.28334,50,3.684995
-56.53303,50,3.73953
-56.566662,50,3.783204
-59.539878,50,3.828395
-60.154851,50,3.876395
-60.454462,50,3.918759
-60.458338,50,3.960606
-57.414453,50,4.003322
-58.300101,50,4.054659
-32.722427,29,4.082879
-62.615161,50,4.128401
-58.360991,50,4.169401
-61.665732,50,4.250022
-61.767252,50,4.323497
-58.888477,50,4.373893
-60.120641,50,4.424215
-61.981044,50,4.470991
-5.483839,6,4.47499
-58.499723,50,4.516303
-60.208085,50,4.563256
-5.556214,6,4.573349
-66.641768,50,4.614545
-60.411072,50,4.658692
-57.365792,50,4.701995
-64.686084,50,4.754856
-59.850675,50,4.796162
-55.975109,50,4.835368
-65.673119,50,4.875878
-58.459281,50,4.91694
-59.431851,50,4.955692
-63.447375,50,5.003301
-35.075432,32,5.034387
-58.685874,50,5.077897
-59.169744,50,5.122055
-58.564059,50,5.176116
-60.301129,50,5.23142
-9.824315,10,5.245421
-0.033941,1,5.24742
-57.738074,50,5.286883
-56.834036,50,5.337659
-56.299589,50,5.381926
-59.902297,50,5.425625
-65.975831,50,5.476898
-64.35956,50,5.526567
-63.828289,50,5.569903
-61.858067,50,6.252138
-59.975142,50,6.878922
-58.892358,50,7.476854
