#{"t_start": 1775525147.1283567, "env_id": "FetchReachDense-v4"}
r,l,t
-16.735396,50,0.887578
-13.095023,50,0.922619
-5.316692,50,0.961656
-19.605518,50,0.997168
-7.863843,50,1.035337
-7.528622,50,1.072337
-10.047766,50,1.108339
-10.019178,50,1.140972
-9.687845,50,1.178973
-13.764603,50,1.216034
-12.933457,50,1.251623
-7.111828,50,1.28568
-11.176448,50,1.324276
-9.028021,50,1.358494
-8.657891,50,1.392565
-14.858717,50,1.427758
-9.491669,50,1.465566
-9.83683,50,1.500566
-6.664549,50,1.538668
-15.864265,50,1.572735
-9.691241,50,1.610733
-7.138938,50,1.648147
-12.097429,50,1.681394
-13.949735,50,1.715394
-9.262182,50,1.753585
-8.555042,50,1.78779
-14.431342,50,1.82295
-7.340562,50,1.858294
-6.198722,50,1.894413
-11.803768,50,1.928412
-10.49196,50,1.965031
-14.628764,50,1.999095
-14.767549,50,2.037159
-7.916303,50,2.071326
-12.978602,50,2.106325
-5.772284,50,2.139836
-13.721288,50,2.178833
-15.964347,50,2.212834
-9.421758,50,2.247879
-15.813569,50,2.284652
-9.023244,50,2.324677
-7.361347,50,2.359677
-13.454782,50,2.395678
-9.323151,50,2.427909
-9.01102,50,2.464834
-10.378336,50,2.498882
-8.829619,50,2.533881
-9.495978,50,2.568933
-11.152304,50,2.605932
-8.21547,50,2.644069
-18.163449,50,2.678389
-9.671481,50,2.714518
-11.170889,50,2.751707
-6.104131,50,2.786024
-12.773916,50,2.820307
-10.245004,50,2.856659
-6.059633,50,2.892859
-13.596128,50,2.928038
-10.117078,50,2.96329
-12.214515,50,2.998291
-12.645085,50,3.034348
-8.941951,50,3.069349
-9.622666,50,3.1026
-9.209525,50,3.137725
-12.513388,50,3.17701
-11.27433,50,3.213181
-16.098883,50,3.24926
-9.492179,50,3.286236
-14.824992,50,3.323235
-14.225369,50,3.356315
-12.709037,50,3.390819
-11.116311,50,3.424005
-9.825119,50,3.460005
-8.002291,50,3.494803
-10.494944,50,3.534067
-11.181249,50,3.571171
-4.240649,50,3.617522
-5.801507,50,3.653625
-6.894035,50,3.691625
-6.836197,50,3.729625
-5.993817,50,3.777696
-5.484634,50,3.811904
-13.541163,50,3.866872
-5.393228,50,3.914093
-9.954855,50,3.96372
-11.052419,50,4.000083
-10.275185,50,4.042191
-10.108086,50,4.084239
-13.069672,50,4.13945
-12.703035,50,4.174977
-8.16512,50,4.209181
-16.512275,50,4.246227
-7.559248,50,4.28253
-10.69376,50,4.31653
-14.363064,50,4.350996
-10.538221,50,4.388374
-8.265028,50,4.429004
-9.742968,50,4.465576
-8.480917,50,4.502691
-10.934959,50,4.535973
-12.541764,50,5.104505
-7.976234,50,5.489765
-11.873453,50,5.8981
-6.849423,50,6.284705
-8.5961,50,6.672831
-11.944955,50,7.049254
-10.514508,50,7.429754
-15.462932,50,7.811752
-12.275571,50,8.20132
-7.459409,50,8.581668
-16.632151,50,8.960018
-9.863941,50,9.337615
-14.430443,50,9.729531
-13.746203,50,10.105325
-6.269961,50,10.496897
-10.452398,50,10.927624
-11.844752,50,11.338223
-7.610083,50,11.715615
-14.062868,50,12.094327
-9.37508,50,12.477378
-7.70664,50,12.870936
-10.297434,50,13.271379
-12.058869,50,13.673241
-13.102556,50,14.072825
-7.175588,50,14.475332
-11.633841,50,14.852288
-6.053537,50,15.236572
-14.454447,50,15.661492
-8.508441,50,16.057688
-11.047889,50,16.429009
-12.768783,50,16.801351
-13.597761,50,17.173635
-10.056711,50,17.552324
-11.869572,50,17.928571
-7.887818,50,18.331181
-15.843293,50,18.720846
-11.100225,50,19.097365
-9.821285,50,19.466927
-9.12373,50,19.836431
-8.736697,50,20.207705
-10.537167,50,20.580235
-12.121527,50,20.952114
-12.434056,50,21.328502
-7.224358,50,21.699951
-4.031303,50,22.084097
-5.698549,50,22.464699
-15.178524,50,22.836579
-13.515463,50,23.20298
-5.660492,50,23.579405
-5.696307,50,23.94352
-7.03852,50,24.317599
-6.603754,50,24.689067
-10.421252,50,25.057434
-12.705003,50,25.430409
-11.979263,50,25.802428
-12.645425,50,26.219201
-13.083683,50,26.609679
-13.170514,50,26.998569
-6.961331,50,27.369902
-6.653598,50,27.746306
-7.249881,50,28.122673
-9.050521,50,28.49276
-5.434901,50,28.868945
-12.424683,50,29.261806
-8.762861,50,29.638779
-11.818608,50,30.017269
-8.169722,50,30.384717
-8.015662,50,30.757722
-7.139641,50,31.145235
-7.525994,50,31.524398
-10.14377,50,31.898605
-12.995767,50,32.269764
-9.259713,50,32.646942
-12.753045,50,33.016794
-14.844185,50,33.391045
-6.518709,50,33.758132
-10.194416,50,34.134643
-6.044154,50,34.503945
-11.877534,50,34.879716
-9.010504,50,35.249282
-4.619047,50,35.620658
-11.252491,50,35.997877
-6.333773,50,36.384231
-7.54487,50,36.758679
-11.812159,50,37.133389
-11.704756,50,37.503309
-7.725567,50,37.876112
-8.828445,50,38.254604
-13.582799,50,38.631604
-11.340294,50,38.999081
-8.307479,50,39.369987
-15.514621,50,39.737635
-4.663157,50,40.117623
-5.506182,50,40.48619
-10.554394,50,40.857613
-6.388779,50,41.22494
-13.25242,50,41.609772
-4.647997,50,41.983021
-8.040304,50,42.35005
-4.614227,50,42.723834
-12.623323,50,44.327916
-6.864891,50,44.696606
-9.325719,50,45.069623
-12.976321,50,45.436596
-7.892801,50,45.813046
-5.961719,50,46.190425
-10.130428,50,46.569584
-12.566787,50,46.948973
-5.261212,50,47.325617
-9.126115,50,47.692224
-8.673315,50,48.064939
-9.197221,50,48.434463
-6.626909,50,48.810034
-6.354195,50,49.180844
-7.411502,50,49.555926
-3.480917,50,49.930973
-5.006229,50,50.304438
-7.537832,50,50.677186
-7.047978,50,51.047716
-9.009525,50,51.417604
-4.90607,50,51.818705
-5.048828,50,52.193773
-3.732814,50,52.567544
-6.147386,50,52.94004
-8.500704,50,53.320173
-10.776629,50,53.694205
-6.473241,50,54.065147
-5.219607,50,54.441481
-9.771747,50,54.818491
-4.38814,50,55.188855
-6.972752,50,55.558605
-2.854584,50,55.931089
-5.186798,50,56.31673
-6.89386,50,56.698269
-4.005709,50,57.072972
-6.645846,50,57.442263
-4.751943,50,57.823432
-3.971052,50,58.195146
-3.992135,50,58.564027
-4.053141,50,58.938389
-3.919771,50,59.313085
-5.824728,50,59.681489
-5.761622,50,60.058854
-6.47928,50,60.425573
-4.901865,50,60.805093
-6.110565,50,61.172288
-5.319465,50,61.539662
-3.234745,50,61.92366
-6.964251,50,62.303937
-4.961315,50,62.672178
-4.504096,50,63.042129
-5.619041,50,63.414844
-3.224009,50,63.796886
-4.717668,50,64.216394
-3.878998,50,64.63119
-5.82973,50,65.075675
-3.387794,50,65.507396
-3.5672,50,65.944422
-3.812327,50,66.329404
-2.973565,50,66.741632
-4.774801,50,67.154144
-2.612021,50,67.592309
-3.439394,50,68.014242
-4.526571,50,68.39193
-4.002235,50,68.86873
-2.771623,50,69.28635
-6.126699,50,69.714221
-3.478777,50,70.129782
-4.294111,50,70.565464
-3.44124,50,71.037655
-4.647102,50,71.513938
-3.71398,50,71.998516
-3.700138,50,72.43786
-2.248612,50,72.898706
-4.250423,50,73.32577
-4.093173,50,73.783469
-2.937835,50,74.23454
-5.223459,50,74.650668
-4.54412,50,75.099435
-2.947751,50,75.519536
-2.402857,50,75.9905
-4.651271,50,76.455552
-3.001353,50,76.901569
-4.18647,50,77.338977
-2.723759,50,77.764157
-3.825316,50,78.176316
-3.282737,50,78.588452
-3.720399,50,79.03742
-3.122942,50,79.49223
-2.12469,50,79.93809
-3.885999,50,80.367703
-3.19608,50,80.772086
-3.137998,50,81.195112
-2.522948,50,81.587852
-2.704978,50,81.994565
-2.619713,50,82.389674
-3.308049,50,82.801869
-2.678604,50,83.200039
-4.95109,50,83.611341
-2.682639,50,84.017464
-2.275048,50,84.431621
-2.776398,50,84.829917
-3.006772,50,85.252994
-3.875172,50,85.648256
-3.811819,50,86.049553
-2.14363,50,86.47875
-3.28212,50,86.880909
-3.036244,50,87.299634
-3.135146,50,87.724259
-2.580652,50,88.14073
-2.40118,50,88.538962
-3.98245,50,88.959044
-2.95834,50,89.356505
-1.734614,50,89.761073
-2.985006,50,90.18782
-2.037749,50,90.609813
-3.514632,50,91.056866
-2.995244,50,91.464066
-2.539124,50,91.890232
-4.19606,50,92.3572
-2.180642,50,92.817119
-3.669974,50,93.274684
-2.711197,50,93.718311
-4.364143,50,94.190375
-1.637984,50,94.648691
-2.279046,50,95.114117
-2.418975,50,95.561275
-3.824099,50,95.961426
-3.040766,50,96.39387
-2.995412,50,96.833155
-1.820117,50,97.236953
-2.703209,50,97.647935
-2.69911,50,98.100675
-3.152599,50,98.499974
-1.625114,50,98.897457
-2.974969,50,99.299248
-3.467201,50,99.739511
-2.804454,50,100.188498
-4.176602,50,100.66414
-3.246888,50,101.060738
-3.918907,50,101.537671
-2.471973,50,101.970386
-2.200725,50,102.380403
-1.660072,50,102.776433
-2.667212,50,103.182235
-1.736336,50,103.5831
-3.533414,50,104.021376
-2.723568,50,104.446163
-1.973965,50,104.89426
-3.179457,50,105.285834
-2.554074,50,105.752928
-2.141149,50,106.210405
-3.86875,50,106.70046
-4.026397,50,107.156437
-3.293686,50,107.616009
-2.648565,50,108.081247
-3.725936,50,108.506987
-3.522036,50,108.955452
-2.463361,50,109.366442
-2.617986,50,109.762243
-2.963457,50,110.166613
-2.863995,50,110.590603
-2.698517,50,110.995736
-2.827981,50,111.424034
-3.08149,50,111.84763
-2.485835,50,112.262774
-2.737216,50,112.680687
-3.31938,50,113.105632
-3.361908,50,113.520804
-3.625176,50,113.941833
-2.496713,50,114.350062
-3.300943,50,114.775152
-2.227518,50,115.273855
-1.707779,50,115.729372
-2.052745,50,116.194673
-1.855581,50,116.648648
-2.473087,50,117.08966
-2.163949,50,117.578976
-2.999888,50,118.059549
-2.378869,50,118.522608
-2.21817,50,118.976707
-2.372236,50,119.383509
-2.949958,50,119.820312
-3.262865,50,120.252868
-1.344429,50,120.695093
-1.862232,50,121.165466
-2.549577,50,121.599386
-1.886496,50,122.039451
-2.21316,50,122.49177
-2.463119,50,122.929876
-2.500339,50,123.381666
-1.860582,50,123.849484
-2.70668,50,124.324214
-2.975651,50,124.755989
-2.19609,50,125.213067
-2.634054,50,125.673272
-2.812183,50,126.113002
-1.915872,50,126.540251
-2.187641,50,126.997018
-2.244543,50,127.429557
-1.679806,50,129.304928
-1.394244,50,129.744322
-2.652211,50,130.176299
-2.131259,50,130.600122
-2.574866,50,131.021755
-1.288527,50,131.433507
-3.167422,50,131.839731
-1.876435,50,132.250074
-1.725369,50,132.642361
-1.853901,50,133.068421
-1.807028,50,133.482376
-2.13113,50,133.89623
-1.625489,50,134.308366
-1.593196,50,134.729821
-1.270804,50,135.130371
-2.774072,50,135.541456
-2.042267,50,135.970947
-2.368651,50,136.368685
-2.950011,50,136.78499
-2.217836,50,137.201224
-1.60555,50,137.609775
-1.802837,50,138.04229
-1.577167,50,138.438349
-2.97852,50,138.84429
-2.252409,50,139.262861
-1.927062,50,139.660962
-1.658995,50,140.074371
-2.276337,50,140.483983
-2.747455,50,140.889013
-1.501432,50,141.301007
-2.38938,50,141.700876
-2.980225,50,142.117739
-1.57223,50,142.520567
-1.78218,50,142.914108
-2.856178,50,143.318386
-1.972417,50,143.742261
-1.793374,50,144.162117
-1.393817,50,144.56553
-1.257334,50,144.982852
-2.158778,50,145.380078
-2.552309,50,145.809267
-1.591722,50,146.221923
-2.791449,50,146.62962
-2.940385,50,147.085868
-1.350158,50,147.50658
-2.086845,50,147.922497
-1.925117,50,148.344841
-1.476368,50,148.76753
-1.577391,50,149.178909
-2.665054,50,149.582646
-2.288817,50,149.999588
-2.256045,50,150.39956
-1.282147,50,150.841959
-1.365253,50,151.299413
-2.255424,50,151.782758
-1.672273,50,152.244181
-1.4318,50,152.70719
-2.351699,50,153.176746
-1.170232,50,153.617974
-2.875216,50,154.060225
-1.261593,50,154.52913
-1.716261,50,154.974273
-1.27768,50,155.414781
-1.732354,50,155.823605
-1.745228,50,156.274837
-2.009348,50,156.696663
-1.614015,50,157.119452
-1.385562,50,157.535241
-1.633873,50,157.963584
-1.986762,50,158.379322
-1.468946,50,158.804214
-1.809913,50,159.220213
-1.481497,50,159.631405
-1.915057,50,160.065527
-1.745114,50,160.469385
-1.883225,50,160.879947
-1.811014,50,161.2952
-2.945452,50,161.706119
-1.885103,50,162.115211
-2.55332,50,162.542086
-2.048326,50,162.945944
-2.259352,50,163.361021
-1.937816,50,163.77813
-2.318176,50,164.18018
-1.775961,50,164.596191
-1.851071,50,165.026051
-2.693187,50,165.434258
-2.842993,50,165.842599
-1.559991,50,166.267566
-1.703106,50,166.670183
-2.123584,50,167.110139
-1.224177,50,167.511671
-1.754437,50,167.943133
-1.486948,50,168.35617
-1.553196,50,168.779857
-2.455932,50,169.200346
-1.041034,50,169.60417
-1.788706,50,170.011389
-1.083025,50,170.45714
-1.936168,50,170.876662
-3.072868,50,171.297882
-1.330732,50,171.715713
-1.663251,50,172.136202
-1.74268,50,172.548801
-1.545427,50,172.962467
-1.478044,50,173.389326
-1.869491,50,173.820958
-1.976379,50,174.221366
-3.092551,50,174.632684
-2.522184,50,175.039383
-1.568998,50,175.456868
-1.205174,50,175.857646
-2.928217,50,176.300859
-1.977088,50,176.711684
-1.8113,50,177.138073
-1.086945,50,177.541838
-1.489273,50,177.949538
-1.929833,50,178.382729
-2.082471,50,178.791076
-1.002287,50,179.221489
-2.846936,50,179.661919
-1.085742,50,180.071602
-0.93186,50,180.482427
-1.441388,50,180.896588
-1.462779,50,181.318354
-1.346407,50,181.733349
-2.400753,50,182.148788
-2.037091,50,182.558138
-1.552876,50,182.981317
-1.850054,50,183.410594
-2.220129,50,183.817442
-2.197423,50,184.246977
-1.415994,50,184.659087
-0.966531,50,185.057709
-1.053579,50,185.472483
-2.929163,50,185.880776
-1.284472,50,186.296354
-1.304205,50,186.69882
-2.5189,50,187.10837
-1.704703,50,187.540071
-1.178515,50,187.965631
-2.144738,50,188.372879
-1.584956,50,188.778069
-2.578389,50,189.194147
-2.659843,50,189.618366
-1.439521,50,190.02622
-1.002674,50,190.428625
-1.321716,50,190.823946
-1.337892,50,191.254522
-1.426984,50,191.652553
-2.249691,50,192.057911
-1.13417,50,192.490556
-1.0913,50,192.889753
-2.358071,50,193.31344
-1.611398,50,193.719718
-2.288364,50,194.122725
-1.709739,50,194.539583
-1.844016,50,194.941377
-2.709867,50,195.33964
-1.622312,50,195.744386
-1.069785,50,196.141846
-2.931,50,196.549302
-1.139618,50,196.947672
-2.832841,50,197.37033
-1.886157,50,197.775303
-1.496947,50,198.182909
-1.13534,50,198.586003
-1.161991,50,198.994871
-2.687463,50,199.41359
-1.530677,50,199.812854
-1.124963,50,200.210537
-1.218788,50,200.607378
-1.019374,50,201.016422
-1.0659,50,201.429393
-1.590871,50,201.830018
-1.572235,50,202.228151
-0.955876,50,202.642382
-1.081177,50,203.037661
-2.328751,50,203.453976
-2.017461,50,203.875697
-2.154806,50,204.284802
-0.939554,50,204.689436
-1.527789,50,205.11405
-1.106554,50,205.514399
-1.30772,50,205.937474
-0.977179,50,206.337379
-1.230172,50,206.754856
-1.151749,50,207.158637
-2.005267,50,207.576303
-1.198966,50,207.977698
-2.616008,50,208.401114
-1.066165,50,208.799447
-1.289843,50,209.206783
-2.028154,50,209.641656
-1.457153,50,210.037181
-1.350281,50,210.439675
-2.09264,50,210.856223
-0.906806,50,211.256575
-1.077503,50,211.655154
-1.064744,50,212.06133
-2.773582,50,213.776397
-2.30382,50,214.19525
-2.690971,50,214.610323
-1.473138,50,215.014161
-1.088661,50,215.439067
-1.711026,50,215.832038
-1.441766,50,216.23071
-3.042396,50,216.659171
-1.393451,50,217.064453
-1.01247,50,217.519737
-2.078901,50,217.918057
-1.88478,50,218.318372
-1.221762,50,218.746606
-1.260954,50,219.157886
-1.351052,50,219.574234
-1.635586,50,219.99808
-1.174551,50,220.400173
-1.50664,50,220.790649
-1.029379,50,221.192702
-1.891314,50,221.600845
-1.84791,50,222.01129
-1.381876,50,222.429435
-1.130778,50,222.821589
-1.997362,50,223.22093
-1.035786,50,223.639642
-2.188313,50,224.052352
-2.168432,50,224.458145
-0.961608,50,224.853624
-1.309832,50,225.26065
-1.397443,50,225.671349
-1.499512,50,226.060183
-2.163235,50,226.469268
-1.97834,50,226.892919
-2.131322,50,227.289082
-1.127454,50,227.698253
-0.950384,50,228.114154
-2.278179,50,228.527835
-1.674505,50,228.957062
-1.634662,50,229.356367
-1.137663,50,229.756852
-2.152595,50,230.170604
-1.791769,50,230.584405
-1.295552,50,230.974993
-1.171081,50,231.379765
-1.574831,50,231.78797
-1.147384,50,232.194827
-0.894095,50,232.604308
-0.880231,50,233.00264
-2.047322,50,233.425924
-1.227502,50,233.827107
-2.282918,50,234.218896
-1.526817,50,234.614025
-2.169681,50,235.014525
-0.933212,50,235.411373
-2.332054,50,235.80865
-1.277976,50,236.206916
-0.877134,50,236.622617
-1.716804,50,237.016512
-0.826499,50,237.425782
-1.751729,50,237.833269
-1.085293,50,238.252672
-1.356302,50,238.662065
-2.336576,50,239.065621
-2.567509,50,239.469814
