#{"t_start": 1776829037.0570462, "env_id": "FetchReach-v4"}
r,l,t
-1.0,2,0.265999
-2.0,3,0.307509
-2.0,3,0.34951
-1.0,2,0.374509
0.0,1,0.394509
-2.0,3,0.432509
-1.0,2,0.460508
-2.0,3,0.498509
-2.0,3,0.541508
-2.0,3,0.583508
-2.0,3,0.622509
-1.0,2,0.64651
-2.0,3,0.69251
-2.0,3,0.733508
-1.0,2,0.759509
-1.0,2,0.78751
-2.0,3,0.830509
-2.0,3,0.867509
-2.0,3,0.906509
-1.0,2,0.932509
-1.0,2,0.962509
-3.0,4,1.01851
-2.0,3,1.056509
-2.0,3,1.091508
0.0,1,1.107508
-2.0,3,1.146509
-2.0,3,1.187509
-2.0,3,1.226509
-3.0,4,1.281509
-2.0,3,1.319508
-3.0,4,1.371509
-2.0,3,1.410509
-3.0,4,1.467021
-1.0,2,1.490017
-2.0,3,1.531016
-3.0,4,1.586015
-2.0,3,1.631016
-1.0,2,1.657016
-2.0,3,1.697016
-3.0,4,1.751015
-2.0,3,1.796016
-1.0,2,1.825016
-1.0,2,1.850016
-2.0,3,1.888016
-3.0,4,1.944016
-1.0,2,1.969016
-2.0,3,2.011016
-3.0,4,2.060016
-1.0,2,2.090016
-2.0,3,2.131016
-2.0,3,2.170015
-2.0,3,2.209016
0.0,1,2.229016
-2.0,3,2.268017
-1.0,2,2.290016
-2.0,3,2.330016
-2.0,3,2.376015
0.0,1,2.394016
-2.0,3,2.438015
-2.0,3,2.478016
-2.0,3,2.522016
-2.0,3,2.565017
-3.0,4,2.618527
-2.0,3,2.658522
-2.0,3,2.701523
-2.0,3,2.739522
-2.0,3,2.779523
0.0,1,2.791524
-1.0,2,2.825523
-1.0,2,2.855523
-2.0,3,2.896523
-2.0,3,2.938524
-2.0,3,2.989522
-1.0,2,3.015522
-3.0,4,3.066523
0.0,1,3.079522
-2.0,3,3.122522
-2.0,3,3.160523
-2.0,3,3.202522
0.0,1,3.213524
-2.0,3,3.256523
-2.0,3,3.293527
-1.0,2,3.320524
-2.0,3,3.360522
-1.0,2,3.394523
-1.0,2,3.423522
