#{"t_start": 1776822641.7059176, "env_id": "FetchReach-v4"}
r,l,t
-50.0,50,0.882504
-50.0,50,0.925505
-4.0,5,0.929505
-50.0,50,0.965506
-50.0,50,1.003505
-50.0,50,1.038507
-22.0,23,1.055507
-50.0,50,1.090505
-50.0,50,1.129505
-50.0,50,1.163505
-50.0,50,1.200507
-50.0,50,1.236504
-50.0,50,1.275505
-50.0,50,1.310505
-9.0,10,1.316505
-26.0,27,1.335505
-50.0,50,1.373505
-50.0,50,1.410505
-11.0,12,1.418504
-50.0,50,1.454505
-40.0,41,1.487507
-50.0,50,1.521505
-50.0,50,1.556507
-50.0,50,1.591015
-50.0,50,1.630016
-50.0,50,1.664015
-50.0,50,1.698015
-50.0,50,1.734015
-50.0,50,1.772015
-50.0,50,1.809015
-50.0,50,1.845017
-50.0,50,1.880015
-50.0,50,1.918015
-50.0,50,1.954015
-50.0,50,1.989017
-50.0,50,2.026015
-50.0,50,2.065015
-50.0,50,2.098015
-50.0,50,2.133015
-50.0,50,2.168015
-50.0,50,2.205015
-50.0,50,2.239015
-50.0,50,2.275016
-10.0,11,2.283015
-13.0,14,2.295017
-50.0,50,2.330017
-35.0,36,2.354015
-50.0,50,2.391015
-50.0,50,2.428015
-50.0,50,2.464015
-50.0,50,2.499015
-50.0,50,2.532015
-50.0,50,2.576015
-50.0,50,2.612016
-50.0,50,2.647015
-50.0,50,2.680017
-50.0,50,2.719524
-50.0,50,2.754524
-50.0,50,2.788522
-50.0,50,2.824522
-13.0,14,2.836523
-45.0,46,2.868524
-50.0,50,2.902523
-50.0,50,2.938526
-50.0,50,2.976523
-50.0,50,3.010523
-50.0,50,3.046523
-50.0,50,3.079525
-50.0,50,3.117525
-50.0,50,3.153523
-14.0,15,3.164525
-50.0,50,3.199525
-50.0,50,3.238523
-50.0,50,3.275523
-50.0,50,3.310525
-50.0,50,3.344523
-50.0,50,3.382523
-50.0,50,3.417522
-50.0,50,3.451523
-50.0,50,3.487525
-50.0,50,3.523522
-50.0,50,3.558523
-50.0,50,3.593523
-50.0,50,3.627523
-50.0,50,3.664523
-50.0,50,3.701523
-26.0,27,3.720523
-17.0,18,3.732522
-5.0,6,3.739523
-50.0,50,3.775524
-50.0,50,3.810525
-50.0,50,3.844525
-50.0,50,3.884033
-50.0,50,3.920035
-50.0,50,3.955033
-50.0,50,3.990035
-50.0,50,4.036035
-50.0,50,4.074033
-50.0,50,4.108033
-50.0,50,4.143033
-50.0,50,4.183033
-13.0,14,4.192033
-36.0,37,4.217033
-50.0,50,4.253033
-50.0,50,4.291034
-50.0,50,4.327036
-8.0,9,4.333034
-50.0,50,4.372033
-50.0,50,4.410036
-50.0,50,4.447033
-50.0,50,4.931033
-50.0,50,5.338543
-50.0,50,5.748543
-50.0,50,6.155543
-5.0,6,6.204542
-50.0,50,6.617052
-50.0,50,7.030051
-50.0,50,7.493564
-50.0,50,7.950564
-50.0,50,8.421564
-50.0,50,8.872072
-50.0,50,9.297072
-50.0,50,9.744583
-8.0,9,9.815582
-50.0,50,10.250583
-50.0,50,10.677582
-50.0,50,11.120091
-50.0,50,11.539094
-50.0,50,11.976092
-28.0,29,12.240606
-50.0,50,12.665606
-50.0,50,13.090606
-36.0,37,13.400115
-50.0,50,13.813115
-50.0,50,14.234115
-50.0,50,14.651629
-50.0,50,15.077626
-50.0,50,15.531137
-12.0,13,15.641137
-50.0,50,16.086137
-6.0,7,16.148137
-50.0,50,16.557139
-50.0,50,17.010645
-2.0,3,17.036646
-8.0,9,17.124646
-50.0,50,17.545645
-50.0,50,17.988155
-50.0,50,18.429155
-50.0,50,18.853155
-50.0,50,19.303664
-2.0,3,19.328665
0.0,1,19.337664
-50.0,50,19.771664
-50.0,50,20.193175
-50.0,50,20.621174
-50.0,50,21.026174
-50.0,50,21.436684
-50.0,50,21.862684
-50.0,50,22.287684
-50.0,50,22.694193
-50.0,50,23.107194
-50.0,50,23.527703
0.0,1,23.536702
-4.0,5,23.578704
-50.0,50,23.999704
-50.0,50,24.425703
-50.0,50,24.86921
-50.0,50,25.30021
-50.0,50,25.71121
-50.0,50,26.126721
-50.0,50,26.58672
-50.0,50,27.010723
-4.0,5,27.058723
-50.0,50,27.467723
-50.0,50,27.886723
-50.0,50,28.325233
-50.0,50,28.743233
-50.0,50,29.190237
-50.0,50,29.615744
-50.0,50,30.025742
-50.0,50,30.444251
-50.0,50,30.880251
-50.0,50,31.302251
-50.0,50,31.709762
-50.0,50,32.161762
-50.0,50,32.606766
-34.0,35,32.907274
-50.0,50,33.343273
-50.0,50,33.780782
-50.0,50,34.197783
-50.0,50,34.640782
-4.0,5,34.682783
-50.0,50,35.108292
-3.0,4,35.141294
-14.0,15,35.267293
-50.0,50,35.687292
-50.0,50,36.100802
-26.0,27,36.323803
-50.0,50,36.751802
-50.0,50,37.189803
-50.0,50,37.610313
-50.0,50,38.031312
-50.0,50,38.456822
-50.0,50,38.868821
-50.0,50,39.289821
-50.0,50,39.725333
-50.0,50,40.161332
-50.0,50,40.568332
-8.0,9,40.656336
-50.0,50,41.07284
-50.0,50,41.521841
-50.0,50,41.965352
-50.0,50,42.393352
-50.0,50,42.833352
-50.0,50,43.271864
-50.0,50,43.68786
-50.0,50,44.114372
-50.0,50,44.534372
-50.0,50,44.961373
-50.0,50,45.38288
-50.0,50,45.798882
-50.0,50,46.223881
-16.0,17,46.37088
-50.0,50,46.802393
-50.0,50,47.222393
-50.0,50,48.901412
-8.0,9,48.979412
-50.0,50,49.383412
-50.0,50,49.802412
-50.0,50,50.22892
-50.0,50,50.66292
-50.0,50,51.091433
-50.0,50,51.515431
-50.0,50,51.945432
-3.0,4,51.979432
-50.0,50,52.417941
-50.0,50,52.845941
-50.0,50,53.285451
-50.0,50,53.71445
-50.0,50,54.13445
-50.0,50,54.550958
-50.0,50,54.994958
-50.0,50,55.444958
-17.0,18,55.600468
-50.0,50,56.027469
-50.0,50,56.459469
-50.0,50,56.910977
-50.0,50,57.337979
-50.0,50,57.773978
-50.0,50,58.205487
-50.0,50,58.640488
-50.0,50,59.052998
-5.0,6,59.107997
-50.0,50,59.518998
-50.0,50,59.952997
-50.0,50,60.391505
-50.0,50,60.812505
-50.0,50,61.238508
-50.0,50,61.678017
-50.0,50,62.179016
-50.0,50,62.652522
-50.0,50,63.161524
-50.0,50,63.67803
-50.0,50,64.131029
-50.0,50,64.653029
-50.0,50,65.171538
-50.0,50,65.686539
-50.0,50,66.219045
-50.0,50,66.679044
-50.0,50,67.205552
-50.0,50,67.673552
-50.0,50,68.177553
-50.0,50,68.653059
-50.0,50,69.186059
-50.0,50,69.736572
-50.0,50,70.233573
-50.0,50,70.72608
-50.0,50,71.267081
-50.0,50,71.746587
-50.0,50,72.236588
-50.0,50,72.744587
-50.0,50,73.207098
-50.0,50,73.635096
-50.0,50,74.070604
-50.0,50,74.535606
-50.0,50,74.992604
-50.0,50,75.493113
-26.0,27,75.730113
-50.0,50,76.177113
-50.0,50,76.652623
-50.0,50,77.115621
-29.0,30,77.37662
-50.0,50,77.842129
-50.0,50,78.299129
-50.0,50,78.753639
-18.0,19,78.925636
-50.0,50,79.387638
-35.0,36,79.706636
-50.0,50,80.169144
-50.0,50,80.625143
-50.0,50,81.096654
-50.0,50,81.542653
-50.0,50,81.969653
-50.0,50,82.41316
-50.0,50,82.853162
-7.0,8,82.92116
-50.0,50,83.387669
-50.0,50,83.843669
-50.0,50,84.28767
-50.0,50,84.729177
-38.0,39,85.071177
-50.0,50,85.524686
