#{"t_start": 1776822507.7933705, "env_id": "FetchReach-v4"}
r,l,t
-50.0,50,1.153507
-50.0,50,1.200508
-4.0,5,1.205509
-50.0,50,1.249508
-50.0,50,1.297507
-50.0,50,1.333507
-22.0,23,1.349512
-50.0,50,1.385015
-50.0,50,1.423017
-50.0,50,1.459015
-50.0,50,1.495015
-50.0,50,1.531016
-50.0,50,1.571017
-50.0,50,1.607015
-9.0,10,1.614015
-26.0,27,1.633015
-50.0,50,1.673015
-50.0,50,1.708015
-11.0,12,1.717015
-50.0,50,1.752017
-40.0,41,1.786015
-50.0,50,1.820015
-50.0,50,1.855015
-50.0,50,2.013015
-50.0,50,2.051015
-50.0,50,2.086016
-50.0,50,2.122015
-50.0,50,2.156016
-50.0,50,2.195018
-50.0,50,2.234016
-50.0,50,2.268018
-50.0,50,2.303015
-50.0,50,2.341015
-50.0,50,2.376015
-50.0,50,2.410016
-50.0,50,2.449015
-50.0,50,2.488015
-50.0,50,2.522528
-50.0,50,2.564528
-50.0,50,2.602528
-50.0,50,2.640528
-50.0,50,2.677528
-50.0,50,2.711528
-10.0,11,2.719528
-13.0,14,2.732528
-50.0,50,2.868529
-35.0,36,2.89353
-50.0,50,2.928528
-50.0,50,2.965528
-50.0,50,3.003528
-50.0,50,3.037528
-50.0,50,3.070529
-50.0,50,3.11053
-50.0,50,3.144528
-50.0,50,3.179528
-50.0,50,3.215528
-50.0,50,3.253528
-50.0,50,3.288528
-50.0,50,3.323528
-50.0,50,3.358528
-13.0,14,3.371529
-45.0,46,3.403528
-50.0,50,3.439528
-50.0,50,3.474529
-50.0,50,3.512528
-50.0,50,3.547528
