#{"t_start": 1777752481.8156693, "env_id": "FetchReach-v4"}
r,l,t
-50.140265,50,1.075344
-49.984929,50,1.114521
-3.968131,5,1.121033
-49.858718,50,1.176161
-49.940171,50,1.235745
-49.914432,50,1.288949
-21.872022,23,1.31549
-49.949635,50,1.36008
-49.930203,50,1.413159
-49.933686,50,1.465346
-49.952964,50,1.520455
-50.17486,50,1.580054
-49.950593,50,1.642663
-50.013063,50,1.699279
-8.967671,10,1.710328
-25.857863,27,1.740385
-50.036574,50,1.793081
-49.921794,50,1.840142
-10.920708,12,1.849156
-49.983813,50,1.89121
-39.830038,41,1.937301
-50.026328,50,1.978392
-49.843241,50,2.022983
-49.949406,50,2.078159
-49.988101,50,2.12923
-49.970147,50,2.173117
-49.914556,50,2.214675
-50.034693,50,2.258304
-49.958744,50,2.301413
-50.176192,50,2.347552
-49.858084,50,2.386188
-49.946333,50,2.42473
-49.935376,50,2.470816
-49.932716,50,2.51106
-49.986579,50,2.549613
-50.045799,50,2.596233
-49.914403,50,2.641816
-49.935689,50,2.684439
-49.999476,50,2.732008
-49.985793,50,2.847383
-50.027423,50,2.91715
-49.9463,50,2.969236
-49.922135,50,3.01732
-9.962766,11,3.026342
-12.918615,14,3.042897
-49.948106,50,3.095586
-34.851755,36,3.133149
-49.945798,50,3.184743
-49.933891,50,3.235405
-49.983006,50,3.278062
-50.173658,50,3.319118
-49.939802,50,3.359691
-49.899046,50,3.401318
-49.953265,50,3.444511
-50.015048,50,3.481054
-50.070261,50,3.518099
-49.906591,50,3.562148
-49.925664,50,3.599207
-49.927964,50,3.636256
-49.901606,50,3.677325
-12.840396,14,3.691344
-44.842895,46,3.733422
-49.895429,50,3.775987
-50.079573,50,3.814527
-49.934626,50,3.864604
-49.933367,50,3.903146
-50.064795,50,3.941199
-49.9876,50,3.981238
-49.887943,50,4.024798
-50.00974,50,4.072413
-13.864493,15,4.088435
-49.938101,50,4.129004
-50.08136,50,4.171112
-50.063495,50,4.216166
-49.995417,50,4.254704
-50.065852,50,4.29337
-50.160283,50,4.337433
-50.037764,50,4.377984
-50.070266,50,4.418031
-49.893295,50,4.458083
-49.815643,50,4.50114
-49.953254,50,4.543185
-49.917766,50,4.579232
-49.948253,50,4.616273
-50.061592,50,4.65835
-49.943644,50,4.696408
-25.856023,27,4.718015
-16.895603,18,4.734532
-4.993764,6,4.744545
-49.952382,50,4.783105
-49.833876,50,4.819149
-49.87689,50,4.859223
-49.909763,50,4.903274
-49.950925,50,4.943341
-50.053278,50,4.986933
-50.01507,50,5.025976
-49.958611,50,5.075038
-49.980086,50,5.113127
-50.104158,50,5.156738
-49.990209,50,5.19988
-50.073344,50,5.244441
-12.914421,14,5.254456
-35.822861,37,5.284989
-50.119126,50,5.326064
-49.981444,50,5.370627
-50.075839,50,5.413667
-7.89653,9,5.421683
-49.905136,50,5.461743
-49.997045,50,5.51695
-50.04372,50,5.558508
-49.915543,50,6.157354
-50.002156,50,6.631245
-49.928645,50,7.080097
-50.006885,50,7.593776
-4.952069,6,7.656687
-49.938996,50,8.136165
-49.943506,50,8.619204
-49.992405,50,9.091235
-50.031132,50,9.552617
-50.019923,50,10.013013
-50.102256,50,10.473369
-49.938119,50,10.962569
-49.907183,50,11.410163
-7.912309,9,11.490165
-50.149498,50,11.990032
-49.951137,50,12.457638
-50.010166,50,12.914629
-49.944432,50,13.387024
-50.008261,50,13.866019
-27.897943,29,14.150039
-50.01313,50,14.591125
-49.945218,50,15.069225
-35.843249,37,15.442645
-49.908698,50,15.902278
-49.786675,50,16.407166
-50.001205,50,16.841185
-49.942066,50,17.323119
-49.921133,50,17.784647
-11.833532,13,17.898312
-49.879622,50,18.406003
-5.894348,7,18.474691
-50.068434,50,18.969754
-49.887681,50,19.439512
-1.990175,3,19.466659
-7.93455,9,19.565664
-50.171809,50,20.026228
-50.084317,50,20.506597
-50.00975,50,20.981292
-50.039153,50,21.465264
-49.919373,50,21.964632
-1.897177,3,21.996679
0.003328,1,22.005686
-49.893577,50,22.483585
-49.762335,50,22.948062
-49.978388,50,23.404767
-49.985891,50,23.877193
-50.008838,50,24.317537
-50.083577,50,24.7932
-50.123087,50,25.26726
-50.240371,50,25.733079
-50.103383,50,26.211415
-50.041452,50,26.643144
0.010808,1,26.653153
-3.948611,5,26.702207
-50.018455,50,27.179142
-49.984309,50,27.632246
-49.997317,50,28.128386
-49.88515,50,28.614713
-49.983272,50,29.113174
-50.064634,50,29.589035
-49.958942,50,30.067041
-50.029142,50,30.560122
-3.94808,5,30.609227
-50.052552,50,31.055476
-50.097784,50,31.53492
-50.050521,50,31.999781
-49.874817,50,32.507433
-49.980351,50,32.962186
-50.008143,50,33.460261
-50.021832,50,33.923228
-49.932272,50,34.388438
-50.089651,50,34.852282
-50.033897,50,35.318973
-49.980915,50,35.763408
-50.190363,50,36.227096
-50.104051,50,36.716243
-33.93785,35,37.034479
-50.047935,50,37.47862
-49.848487,50,37.943187
-49.863572,50,38.407294
-50.097868,50,38.863117
-3.92455,5,38.911179
-49.976105,50,39.381331
-2.966098,4,39.424742
-13.885409,15,39.563139
-49.965357,50,40.033223
-49.989753,50,40.529594
-25.901767,27,40.820988
-50.062505,50,41.315642
-49.926462,50,41.771246
-49.971838,50,42.29565
-50.002577,50,42.761106
-50.0259,50,43.253042
-50.021996,50,43.713047
-49.892777,50,44.2061
-50.191755,50,44.698179
-49.933165,50,45.164708
-50.084306,50,45.651182
-7.885311,9,45.746821
-50.017639,50,46.212136
-49.909631,50,46.719213
-50.11053,50,47.192733
-50.130449,50,47.712085
-50.008132,50,48.190569
-50.080016,50,48.666576
-49.942822,50,49.12919
-50.158756,50,49.608252
-50.029538,50,50.070362
-49.899534,50,50.560205
-49.981469,50,51.061067
-49.949615,50,51.539406
-50.115799,50,52.010031
-14.926137,16,52.173104
-49.964577,50,52.674588
-49.947355,50,53.168986
-28.839049,30,53.476159
-27.895266,29,55.109427
-50.098461,50,55.613175
-49.934603,50,56.088155
-49.899741,50,56.569281
-50.085789,50,57.063219
-50.001835,50,57.536398
-49.956327,50,58.016089
-49.966174,50,58.492179
-50.032418,50,58.962782
-49.850355,50,59.42358
-50.07592,50,59.899234
-49.983232,50,60.362919
-49.896797,50,60.817173
-50.058959,50,61.260269
-49.906113,50,61.746045
-8.908706,10,61.835559
-49.984072,50,62.291185
-4.950586,6,62.349261
-49.819232,50,62.856925
-49.89059,50,63.360183
-50.039752,50,63.929254
-50.234668,50,64.530432
-50.02522,50,65.132161
-50.023553,50,65.625708
-49.988418,50,66.117265
