#{"t_start": 1775531818.8893876, "env_id": "FetchReach-v4"}
r,l,t
-47.0,50,1.298916
-50.0,50,1.349915
-50.0,50,1.397779
-49.0,50,1.452988
-50.0,50,1.513989
-48.0,50,1.56529
-50.0,50,1.611291
-50.0,50,1.658889
-50.0,50,1.718138
-50.0,50,1.777276
-50.0,50,1.832567
-50.0,50,1.88511
-46.0,50,1.940417
-50.0,50,1.989496
-46.0,50,2.038303
-50.0,50,2.090407
-50.0,50,2.150956
-50.0,50,2.200148
-45.0,50,2.247147
-47.0,50,2.298819
-50.0,50,2.351912
-50.0,50,2.408697
-50.0,50,2.457224
-50.0,50,2.508783
-50.0,50,2.571291
-50.0,50,2.626291
-50.0,50,2.674127
-50.0,50,2.734239
-50.0,50,2.810442
-50.0,50,2.859324
-50.0,50,2.915396
-50.0,50,2.969082
-50.0,50,3.022135
-50.0,50,3.077127
-50.0,50,3.132498
-50.0,50,3.188343
-50.0,50,3.244148
-50.0,50,3.301028
-50.0,50,3.362979
-50.0,50,3.419602
-50.0,50,3.480698
-50.0,50,3.529697
-50.0,50,3.577458
-50.0,50,3.631632
-50.0,50,3.688633
-48.0,50,3.737798
-50.0,50,3.792979
-50.0,50,3.852613
-50.0,50,3.915297
-50.0,50,3.96677
-50.0,50,4.013801
-50.0,50,4.056846
-50.0,50,4.112916
-50.0,50,4.161542
-50.0,50,4.218221
-50.0,50,4.276316
-50.0,50,4.331331
-47.0,50,4.377115
-50.0,50,4.436241
-48.0,50,4.487247
-50.0,50,4.535766
-50.0,50,4.578078
-50.0,50,4.62214
-40.0,50,4.668634
-50.0,50,4.718633
-50.0,50,4.777374
-50.0,50,4.844363
-48.0,50,4.899488
-50.0,50,4.952486
-50.0,50,5.005134
-50.0,50,5.069116
-50.0,50,5.124212
-50.0,50,5.177212
-50.0,50,5.230895
-50.0,50,5.284524
-50.0,50,5.334423
-50.0,50,5.39414
-50.0,50,5.449462
-50.0,50,5.496414
-49.0,50,5.542413
-50.0,50,5.592614
-47.0,50,5.649723
-50.0,50,5.697726
-50.0,50,5.754724
-50.0,50,5.810267
-50.0,50,5.859269
-50.0,50,5.909124
-47.0,50,5.955123
-50.0,50,6.010554
-50.0,50,6.05795
-50.0,50,6.103543
-50.0,50,6.157639
-50.0,50,6.210885
-50.0,50,6.259886
-50.0,50,6.317213
-48.0,50,6.377439
-50.0,50,6.442767
-50.0,50,6.504444
-50.0,50,6.558557
-48.0,50,6.613556
-50.0,50,7.421213
-50.0,50,7.928365
-49.0,50,8.455119
-43.0,50,8.978185
-50.0,50,9.496138
-50.0,50,10.074454
-44.0,50,10.726613
-50.0,50,11.373889
-50.0,50,11.998039
-50.0,50,12.610292
-50.0,50,13.239052
-50.0,50,13.920669
-50.0,50,14.55539
-50.0,50,15.206674
-50.0,50,15.862697
-50.0,50,16.526676
-50.0,50,17.168748
-42.0,50,17.830142
-50.0,50,18.471729
-46.0,50,19.144572
-50.0,50,19.760449
-47.0,50,20.363887
-50.0,50,20.978335
-50.0,50,21.594807
-50.0,50,22.21383
-50.0,50,22.837595
