#{"t_start": 1775539373.2782633, "env_id": "FetchReach-v4"}
r,l,t
-50.0,50,1.648416
-50.0,50,1.705055
-42.0,50,1.75976
-50.0,50,1.819204
-50.0,50,1.878506
-50.0,50,1.919777
-49.0,50,1.962582
-50.0,50,2.017795
-50.0,50,2.069773
-50.0,50,2.120862
-50.0,50,2.179692
-50.0,50,2.23193
-50.0,50,2.29441
-50.0,50,2.345613
-50.0,50,2.395125
-46.0,50,2.448717
-49.0,50,2.509735
-50.0,50,2.563028
-47.0,50,2.62587
-50.0,50,2.683499
-50.0,50,2.738917
-50.0,50,2.801047
-50.0,50,2.860162
-50.0,50,2.918653
-50.0,50,2.975016
-50.0,50,3.016042
-50.0,50,3.070865
-50.0,50,3.12191
-50.0,50,3.17811
-50.0,50,3.238362
-50.0,50,3.29236
-50.0,50,3.347363
-50.0,50,3.407361
-50.0,50,3.446553
-50.0,50,3.497688
-40.0,50,3.554981
-50.0,50,3.610356
-50.0,50,3.66199
-50.0,50,3.719409
-39.0,50,3.78051
-50.0,50,3.842472
-50.0,50,3.904855
-50.0,50,3.954894
-50.0,50,4.004422
-50.0,50,4.060526
-50.0,50,4.126035
-50.0,50,4.177722
-50.0,50,4.236158
-50.0,50,4.28927
-50.0,50,4.356239
-50.0,50,4.401484
-50.0,50,4.453577
-50.0,50,4.502491
-50.0,50,4.557148
-50.0,50,4.621059
-50.0,50,4.675584
-50.0,50,4.73384
-43.0,50,4.802681
-50.0,50,4.848679
-50.0,50,4.901736
-50.0,50,4.950736
-50.0,50,5.000591
-50.0,50,5.075605
-50.0,50,5.136406
-50.0,50,5.192134
-42.0,50,5.242439
-50.0,50,5.297626
-47.0,50,5.351887
-49.0,50,5.409
-50.0,50,5.458315
-50.0,50,5.499906
-50.0,50,5.55463
-50.0,50,5.601901
-50.0,50,5.651058
-50.0,50,5.703057
-50.0,50,5.752552
-50.0,50,5.805717
-50.0,50,5.851722
-50.0,50,5.905318
-50.0,50,5.956374
