#{"t_start": 1777837143.2427523, "env_id": "FetchReach-v4"}
r,l,t
-70.430739,50,0.907316
-66.429343,50,0.955437
-4.823921,5,0.959436
-60.778483,50,0.996846
-61.528634,50,1.034848
-61.916157,50,1.069846
-25.639761,23,1.087847
-61.686419,50,1.121846
-62.713967,50,1.161847
-61.423871,50,1.19804
-63.991369,50,1.239038
-61.140725,50,1.278173
-66.715737,50,1.321362
-60.258411,50,1.359363
-10.650432,10,1.367362
-31.494611,27,1.387362
-67.416766,50,1.436512
-62.230271,50,1.474584
-12.70228,12,1.483584
-65.565778,50,1.523701
-48.92638,41,1.558835
-60.616785,50,1.603837
-64.065843,50,1.643901
-66.376934,50,1.680899
-66.015035,50,1.723104
-61.347885,50,1.762101
-62.263467,50,1.798102
-61.840918,50,1.835322
-60.41659,50,1.878468
-70.365402,50,1.919026
-68.345185,50,1.958274
-69.208298,50,1.999384
-64.231029,50,2.041451
-60.973617,50,2.080754
-63.999098,50,2.117753
-66.104481,50,2.157753
-61.129288,50,2.200894
-65.657154,50,2.237894
-64.95418,50,2.276061
-69.925361,50,2.314241
-62.426044,50,2.356313
-60.308376,50,2.395313
-65.654396,50,2.439442
-11.590483,11,2.447442
-15.504762,14,2.46251
-59.471911,50,2.499566
-42.63238,36,2.527626
-65.275305,50,2.565626
-61.616791,50,2.606626
-66.1406,50,2.647821
-68.670554,50,2.683818
-59.986683,50,2.720946
-64.777625,50,2.763946
-59.820712,50,2.802066
-63.09568,50,2.84025
-66.294395,50,2.878249
-63.461854,50,2.920323
-63.747183,50,2.959522
-60.006414,50,2.996521
-65.71025,50,3.041032
-15.641626,14,3.059031
-52.564711,46,3.095031
-60.976317,50,3.13203
-61.929691,50,3.171207
-61.888974,50,3.223207
-62.356344,50,3.260276
-62.52776,50,3.299274
-69.098472,50,3.335274
-63.311702,50,3.376274
-62.942087,50,3.415274
-16.80941,15,3.429275
-62.274349,50,3.47233
-65.961753,50,3.514395
-67.969833,50,3.555477
-68.865686,50,3.593598
-65.640061,50,3.633598
-64.68429,50,3.67366
-61.735716,50,3.713846
-66.442366,50,3.75091
-62.158996,50,3.788908
-63.485806,50,3.831147
-60.9781,50,3.871149
-63.214537,50,3.908147
-59.675499,50,3.949147
-62.101239,50,3.992149
-65.411134,50,4.031281
-31.991691,27,4.078556
-20.266513,18,4.117555
-5.864378,6,4.132556
-67.994642,50,4.19767
-62.585091,50,4.249995
-61.526066,50,4.307732
-64.716399,50,4.362113
-60.918478,50,4.414113
-66.763297,50,4.469389
-62.592071,50,4.514714
-61.156608,50,4.557714
-65.835158,50,4.595715
-62.791816,50,4.632777
-63.837759,50,4.670778
-68.036294,50,4.713927
-15.387267,14,4.724927
-43.015507,37,4.751927
-67.804997,50,4.789054
-61.07366,50,4.83113
-66.392989,50,4.87013
-9.571575,9,4.877191
-68.261349,50,4.91519
-60.870027,50,4.956191
-65.656343,50,4.999249
-60.476045,50,6.646749
-67.800762,50,7.058196
-59.884968,50,7.506408
-69.145771,50,7.946168
-5.835319,6,7.995169
-60.552819,50,8.407292
-64.411248,50,8.822413
-60.464613,50,9.263058
-63.634582,50,9.681434
-68.189858,50,10.094868
-64.628565,50,10.532147
-62.174408,50,10.941796
-62.802471,50,11.348363
-9.208029,9,11.432597
-62.309852,50,11.863054
-62.389002,50,12.274048
-67.619064,50,12.70332
-64.530132,50,13.114836
-67.272071,50,13.551452
-32.574623,29,13.800981
-66.252389,50,14.230142
-61.016079,50,14.683204
-42.722815,37,15.004896
-62.340827,50,15.444934
-60.925969,50,15.997463
-69.266195,50,16.488551
-67.506805,50,16.913218
-61.755591,50,17.3432
-17.92186,16,17.480258
-60.298565,50,17.897241
-63.24622,50,18.337481
-67.51393,50,18.769001
-62.208458,50,19.173322
-59.606784,50,19.633311
-61.055772,50,20.044374
-59.782785,50,20.474635
-66.652035,50,20.898165
-64.933685,50,21.305756
-61.943934,50,21.732712
-64.021492,50,22.151213
-60.875396,50,22.562385
-21.80738,20,22.738048
-63.683966,50,23.161932
-63.403731,50,23.584668
-63.759839,50,24.025418
-73.233277,50,24.429111
-65.375558,50,24.847839
-67.728669,50,25.263447
-69.426634,50,25.675829
-4.647307,5,25.718193
-0.09547,1,25.730193
-5.825928,6,25.789296
-3.443453,4,25.82252
-0.148465,1,25.831522
-0.075624,1,25.84452
-63.83043,50,26.278293
-64.020551,50,26.753675
-64.103937,50,27.168861
-65.9738,50,27.60423
-68.942896,50,28.008916
-62.614446,50,28.411519
-67.37526,50,28.837684
-60.003278,50,29.25232
-62.162748,50,29.699784
-14.478112,13,29.803402
-24.561017,22,29.988099
-63.94693,50,30.41625
-11.710676,11,30.522932
-66.335186,50,30.963506
-66.161981,50,31.379876
-60.919102,50,31.815785
-32.316233,28,32.06865
-14.289378,13,32.178148
-7.020024,7,32.237338
-10.68266,10,32.326404
-65.893714,50,32.739289
-0.090899,1,32.748289
-40.108548,34,33.022164
-65.992983,50,33.434316
-63.820721,50,33.840901
-68.904086,50,34.280101
-59.821967,50,34.688238
-61.273959,50,35.124424
