#{"t_start": 1777832128.0688667, "env_id": "FetchReach-v4"}
r,l,t
-66.821503,50,0.885989
-62.652007,50,0.933993
-4.396726,5,0.937992
-58.156906,50,0.97599
-58.346199,50,1.014086
-58.514469,50,1.050225
-24.084377,23,1.068227
-57.812515,50,1.104225
-59.147438,50,1.144227
-58.383962,50,1.180227
-60.982825,50,1.219225
-58.087303,50,1.257225
-63.643989,50,1.298299
-56.278666,50,1.336297
-9.970819,10,1.343297
-30.055536,27,1.362297
-64.14046,50,1.403299
-58.751818,50,1.439296
-11.989145,12,1.448297
-62.937493,50,1.48737
-45.936433,41,1.522371
-57.38551,50,1.55837
-60.936052,50,1.594434
-62.691075,50,1.632035
-62.531107,50,1.673035
-57.523849,50,1.7091
-59.127371,50,1.746171
-58.037199,50,1.782249
-56.976712,50,1.822336
-67.806181,50,1.862392
-64.926227,50,1.897533
-66.014849,50,1.933532
-61.126328,50,1.974532
-57.783717,50,2.011657
-60.978073,50,2.046728
-62.611613,50,2.086869
-57.857815,50,2.12694
-61.903675,50,2.162003
-62.03595,50,2.200066
-66.312903,50,2.235069
-58.638424,50,2.273069
-56.847129,50,2.309066
-62.596973,50,2.345268
-10.753522,11,2.35327
-14.60601,14,2.365341
-56.349823,50,2.404342
-40.562143,36,2.430413
-62.162563,50,2.466412
-58.003195,50,2.506414
-63.088196,50,2.544469
-64.987992,50,2.578471
-56.479705,50,2.614469
-61.490787,50,2.654648
-56.676478,50,2.690725
-59.945924,50,2.728863
-62.807786,50,2.765373
-60.804345,50,2.805371
-60.603975,50,2.844374
-57.209075,50,2.880437
-62.349754,50,2.916437
-14.756887,14,2.929438
-49.712993,46,2.964437
-57.542499,50,2.999437
-58.591748,50,3.034527
-58.360184,50,3.075525
-58.706348,50,3.110528
-59.835236,50,3.145635
-65.339843,50,3.182633
-59.66503,50,3.221705
-59.479422,50,3.256781
-15.745695,15,3.268781
-59.006155,50,3.304852
-62.543642,50,3.343922
-65.412393,50,3.382996
-65.369818,50,3.419996
-62.666025,50,3.456065
-61.333973,50,3.495136
-58.988915,50,3.532232
-62.585371,50,3.5674
-59.017077,50,3.604403
-59.942066,50,3.647489
-58.14437,50,3.684812
-60.125731,50,3.721808
-56.166596,50,3.756808
-59.439345,50,3.795808
-62.150668,50,3.834973
-30.389228,27,3.853974
-18.845957,18,3.866976
-5.377769,6,3.873976
-64.91062,50,3.912551
-59.504899,50,3.951684
-58.227698,50,4.057779
-61.808536,50,4.124778
-57.848218,50,4.166947
-63.589027,50,4.203945
-59.152379,50,4.239943
-58.023163,50,4.281944
-62.116669,50,4.318943
-59.754368,50,4.354946
-60.635621,50,4.394943
-64.8602,50,4.434943
-14.611307,14,4.444946
-40.88368,37,4.473945
-64.597383,50,4.509945
-58.098215,50,4.550943
-62.903598,50,4.589009
-8.764155,9,4.596009
-65.071231,50,4.632009
-58.002429,50,4.670072
-62.397009,50,4.707421
-57.886923,50,6.323611
-64.273506,50,6.813456
-56.745512,50,7.313845
-65.427221,50,7.798569
-5.520811,6,7.854749
-56.718321,50,8.330446
-60.705911,50,8.819159
-56.792979,50,9.331702
-59.792039,50,9.854973
-65.291938,50,10.300714
-61.30856,50,10.741277
-58.941164,50,11.24311
-59.682399,50,11.745574
-8.573913,9,11.828852
-59.28723,50,12.326714
-59.23941,50,12.848289
-64.420542,50,13.40644
-60.963184,50,13.948603
-63.906782,50,14.501253
-30.397211,29,14.773867
-63.346426,50,15.27616
