#{"t_start": 1777833476.9558475, "env_id": "FetchReach-v4"}
r,l,t
-66.51685,50,1.525786
-63.216451,50,1.59536
-4.358588,5,1.60238
-58.394901,50,1.666764
-58.304416,50,1.727241
-59.120751,50,1.786715
-24.122319,23,1.816771
-58.365355,50,1.876383
-58.729213,50,1.941836
-57.991157,50,2.00005
-60.406013,50,2.058283
-57.526149,50,2.129735
-63.926129,50,2.189092
-56.376961,50,2.242815
-9.864174,10,2.252829
-29.738778,27,2.284387
-64.693467,50,2.348924
-59.059023,50,2.405916
-12.002092,12,2.418955
-62.486307,50,2.478308
-45.832491,41,2.529257
-56.917149,50,2.590368
-61.492169,50,2.650474
-62.894256,50,2.705114
-63.002141,50,2.766794
-58.103615,50,2.822738
-58.509,50,2.878203
-58.491794,50,2.9383
-57.217568,50,3.007047
-67.179602,50,3.06982
-65.193802,50,3.131765
-66.051658,50,3.182934
-61.598169,50,3.242778
-57.367127,50,3.295086
-61.021922,50,3.356896
-62.588039,50,3.414804
-58.325716,50,3.480482
-62.308579,50,3.53674
-61.592855,50,3.602049
-66.790884,50,3.662804
-58.962156,50,3.726737
-56.544836,50,3.787071
-62.251838,50,3.846813
-10.862422,11,3.859838
-14.53344,14,3.879375
-56.726315,50,3.934864
-40.094685,36,3.972476
-62.349302,50,4.024954
-58.566484,50,4.084857
-62.672437,50,4.143704
-65.141382,50,4.193941
-56.324471,50,4.243677
-61.307879,50,4.299004
-56.801154,50,4.348308
-60.311826,50,4.396045
-62.492229,50,4.450673
-60.569222,50,4.513918
-60.380824,50,4.568192
-57.203174,50,4.688316
-62.595879,50,4.80233
-14.649388,14,4.839882
-49.948015,46,4.910826
-58.091967,50,4.978487
-57.986032,50,5.074049
-58.001689,50,5.150601
-58.734518,50,5.206955
-59.31523,50,5.258273
-65.736808,50,5.313965
-59.69894,50,5.368229
-59.727044,50,5.416659
-15.836275,15,5.431692
-58.375235,50,5.489305
-62.114373,50,5.553735
-65.346582,50,5.619031
-64.985033,50,5.685078
-62.951345,50,5.752848
-60.85463,50,5.821681
-58.497333,50,5.89104
-63.007805,50,5.946748
-58.970361,50,6.002704
-60.409392,50,6.062802
-58.337704,50,6.118151
-60.416244,50,6.174256
-55.974956,50,6.224936
-59.125958,50,6.283128
-62.376583,50,6.335269
-30.554513,27,6.36375
