#{"t_start": 1777834692.386121, "env_id": "FetchReach-v4"}
r,l,t
-66.307363,50,0.953439
-63.254036,50,0.999979
-4.368105,5,1.003999
-57.759935,50,1.044587
-58.033563,50,1.097185
-58.710921,50,1.14429
-24.024502,23,1.163814
-58.299316,50,1.209405
-59.170471,50,1.260072
-58.055134,50,1.30302
-60.48785,50,1.346055
-57.817618,50,1.393613
-63.941019,50,1.438168
-56.716119,50,1.478774
-9.895429,10,1.486282
-30.006947,27,1.508811
-64.690953,50,1.555366
-58.819206,50,1.614513
-12.08906,12,1.626527
-62.272156,50,1.6701
-45.473648,41,1.707129
-57.538001,50,1.750264
-61.062221,50,1.795331
-63.327139,50,1.840385
-62.639028,50,1.890629
-57.707515,50,1.938827
-58.974225,50,1.987978
-58.584446,50,2.033543
-56.990643,50,2.085658
-67.492916,50,2.132282
-64.517458,50,2.175836
-66.085685,50,2.22043
-61.647604,50,2.271001
-57.231428,50,2.313556
-60.483995,50,2.358105
-62.932578,50,2.406676
-58.280301,50,2.456324
-62.000972,50,2.498875
-61.980557,50,2.538979
-66.292167,50,2.582548
-59.290941,50,2.629601
-56.50002,50,2.66866
-61.959762,50,2.709292
-10.879145,11,2.719304
-14.416196,14,2.733316
-56.2981,50,2.772458
-40.26902,36,2.802489
-61.684125,50,2.846535
-58.019727,50,2.894091
-62.908696,50,2.940678
-64.996564,50,2.981776
-56.920994,50,3.028882
-61.758608,50,3.076448
-56.777838,50,3.129523
-59.924518,50,3.174579
-62.982791,50,3.219132
-60.329143,50,3.268287
-59.964948,50,3.308834
-57.041472,50,3.35352
-62.515885,50,3.39961
-14.565368,14,3.416631
-49.457097,46,3.458776
-57.95633,50,3.502958
-58.34529,50,3.544583
-58.55327,50,3.59364
-59.159187,50,3.634313
-59.203476,50,3.676362
-65.448707,50,3.716415
-60.22267,50,3.756464
-59.799535,50,3.800536
-15.711225,15,3.811551
-58.521307,50,3.851594
-62.599018,50,3.895638
-64.86176,50,3.942799
-65.622887,50,3.988867
-62.335232,50,4.034429
-61.287744,50,4.145918
-58.986881,50,4.227875
-62.622065,50,4.287971
-59.159693,50,4.333539
-60.574209,50,4.379615
-58.237501,50,4.432787
-59.737004,50,4.486525
-55.760443,50,4.529585
-58.92485,50,4.58166
-61.718916,50,4.630483
-30.337876,27,4.655511
-18.836011,18,4.670535
-5.458206,6,4.681553
-64.539214,50,4.722597
-59.163731,50,4.763205
-58.245817,50,4.805366
-62.079041,50,4.848916
-57.841902,50,4.891549
-63.539512,50,4.939614
-59.762102,50,4.979678
-57.632462,50,5.029375
-62.551029,50,5.07793
-59.509603,50,5.122488
-60.729656,50,5.164537
-64.240146,50,5.2126
-14.598479,14,5.226617
-41.211572,37,5.259752
-64.310856,50,5.30282
-57.99646,50,5.351432
-62.591466,50,5.393481
-8.829916,9,5.402496
-64.751128,50,5.44956
-57.562071,50,5.499614
-62.294422,50,5.5467
-57.426082,50,7.548673
-64.588331,50,8.133456
-56.37839,50,8.696945
-65.606762,50,9.256539
-5.499914,6,9.32132
-57.147023,50,9.884812
-61.215933,50,10.410411
-57.217254,50,10.950714
-60.423868,50,11.502127
-64.649945,50,12.048051
-60.933853,50,12.603811
-58.671094,50,13.198039
-60.162815,50,13.775426
-8.625819,9,13.879563
-59.096084,50,14.487081
-58.904642,50,15.026312
-63.960236,50,15.588374
-61.358137,50,16.201766
-63.67187,50,16.85549
-30.637468,29,17.223525
-63.155222,50,17.816428
-57.27621,50,18.4047
-40.071095,37,18.850369
-59.205357,50,19.396671
-57.198282,50,19.986866
-66.635156,50,20.552588
-64.266831,50,21.130744
-57.99746,50,21.679525
-13.865744,13,21.833498
-57.346888,50,22.382574
-6.610284,7,22.456788
-58.910263,50,23.056539
-59.378976,50,23.60711
-2.20487,3,23.64422
-8.793263,9,23.76561
-61.600792,50,24.343546
-60.204302,50,24.931749
-62.124754,50,25.554624
-59.177608,50,26.405448
-56.15029,50,28.500623
-2.222654,3,28.623616
-0.054932,1,28.66084
-60.409684,50,30.773658
-59.951755,50,32.824627
-56.089865,50,34.815603
-58.874678,50,36.816669
-57.543162,50,38.887842
-67.534004,50,40.938265
-62.708784,50,42.92545
-66.770596,50,44.971375
-57.303167,50,46.903128
-58.855424,50,49.036827
-0.050548,1,49.090468
-4.256475,5,49.290357
-56.638409,50,51.381444
-57.762294,50,53.473558
-64.899838,50,55.486792
-59.473177,50,57.60953
-63.871054,50,59.462449
-66.988136,50,61.386262
-60.853661,50,63.298026
-62.908634,50,65.293748
-4.314854,5,65.576425
-60.670468,50,67.438998
-62.682226,50,69.502484
-60.473581,50,71.142981
-58.681582,50,72.884805
-58.758991,50,74.925561
-61.309377,50,76.356547
-59.042224,50,77.683845
-58.296719,50,79.060447
-62.286982,50,80.479669
-60.808357,50,81.76146
-58.171054,50,83.188024
-60.590772,50,84.781391
-60.057487,50,86.322809
-38.512212,35,87.468879
-63.146592,50,88.896586
-59.991745,50,90.440781
-59.183414,50,91.776687
-59.795902,50,93.050491
-4.290128,5,93.200158
-12.417402,12,93.581461
-56.572281,50,95.122508
-58.940312,50,96.435542
-58.63667,50,97.651476
-67.404491,50,98.903481
-60.719324,50,100.172873
-59.044173,50,101.385432
-59.235448,50,102.595585
-60.685898,50,103.806465
-35.086162,33,104.605581
-57.396253,50,105.640506
-14.326107,14,105.98307
-59.395797,50,107.178983
-62.918,50,108.337971
-58.754851,50,109.582347
-61.568252,50,110.894458
-59.598143,50,112.085044
-60.598893,50,113.271366
-62.963673,50,114.507926
-59.133519,50,115.719918
-1.110567,2,115.778041
-58.470871,50,117.021461
-61.761985,50,118.084603
-56.076098,50,119.113344
-0.047323,1,119.139894
-60.273571,50,120.140737
-58.482869,50,121.155518
-56.439545,50,122.249396
-64.989406,50,123.314487
-59.915722,50,124.530301
-58.978017,50,125.718951
-55.96415,50,126.938914
-60.802316,50,128.148416
-56.610349,50,129.27445
-17.588796,17,133.762914
-61.448706,50,135.110364
-65.165118,50,136.362386
-60.0675,50,137.618936
-61.002456,50,138.719914
-57.300997,50,140.026572
-60.951029,50,141.261934
-57.575561,50,142.438636
-57.815309,50,143.738007
-61.313228,50,145.036768
-32.012707,30,145.816585
-17.419365,17,146.254037
-65.717448,50,147.507999
-58.12715,50,148.696506
-59.092246,50,149.889553
-57.192368,50,151.156754
-58.332961,50,152.318097
-45.245647,42,153.29954
-57.41045,50,154.465403
-57.936943,50,155.644987
-56.993499,50,156.861616
-56.635678,50,158.091598
-62.683623,50,159.233275
-57.040282,50,160.418895
