#{"t_start": 1777830740.1667082, "env_id": "FetchReach-v4"}
r,l,t
-66.735395,50,1.230783
-63.095023,50,1.274858
-4.354327,5,1.281361
-58.073811,50,1.326041
-58.147022,50,1.376789
-58.800781,50,1.423355
-24.183538,23,1.443887
-58.267814,50,1.488837
-58.853146,50,1.543933
-57.939928,50,1.590756
-60.620297,50,1.639835
-57.666125,50,1.684913
-63.589272,50,1.75227
-56.59585,50,1.826915
-9.936624,10,1.838947
-29.870037,27,1.876727
-64.394788,50,1.94786
-59.059333,50,2.000674
-12.072719,12,2.015713
-62.547752,50,2.081324
-45.790892,41,2.135151
-57.321824,50,2.189913
-61.015342,50,2.243717
-63.023658,50,2.298574
-62.519356,50,2.359885
-57.700156,50,2.424649
-58.80891,50,2.485943
-58.387138,50,2.544839
-56.838263,50,2.604024
-67.372989,50,2.656893
-64.901531,50,2.712241
-65.7616,50,2.76484
-61.290854,50,2.827802
-57.340774,50,2.894948
-60.708083,50,2.9799
-62.47142,50,3.052975
-58.002566,50,3.122269
-62.285398,50,3.215158
-61.677945,50,3.294778
-66.624343,50,3.354882
-58.985844,50,3.430815
-56.794705,50,3.50467
-62.33095,50,3.560756
-10.821966,11,3.572276
-14.5048,14,3.590808
-56.362648,50,3.662979
-40.255706,36,3.707763
-62.024486,50,3.755851
-58.240649,50,3.81318
-62.667211,50,3.866769
-65.309718,50,3.918862
-56.570534,50,3.965104
-61.322055,50,4.02486
-56.986928,50,4.08677
-59.846499,50,4.140855
-62.938747,50,4.185957
-60.396249,50,4.243827
-60.36694,50,4.294542
-56.888255,50,4.342301
-62.228704,50,4.397899
-14.655856,14,4.415941
-49.611173,46,4.46224
-57.725732,50,4.52085
-58.381512,50,4.568679
-58.177669,50,4.67489
-59.004049,50,4.784447
-59.443795,50,4.877769
-65.734937,50,4.958922
-59.835179,50,5.074999
-59.873506,50,5.158698
-15.82504,15,5.177733
-58.627362,50,5.233684
-62.249679,50,5.297796
-65.05635,50,5.367648
-65.375395,50,5.433776
-62.564017,50,5.48085
-61.331931,50,5.530956
-58.742175,50,5.58374
-62.942524,50,5.629805
-58.773559,50,5.675886
-60.237157,50,5.727771
-57.982367,50,5.774849
-60.09939,50,5.82242
-56.13845,50,5.874721
-59.002615,50,5.927802
-62.052718,50,5.974878
-30.311522,27,6.002922
-18.93308,18,6.019126
-5.415386,6,6.028862
-64.953611,50,6.087606
-59.500385,50,6.134561
-58.100369,50,6.179913
-61.626889,50,6.234744
-57.643256,50,6.282313
-63.266275,50,6.328883
-59.380956,50,6.377732
-57.659945,50,6.447875
-62.526906,50,6.508835
-59.823364,50,6.569756
-60.388292,50,6.616843
-64.538383,50,6.672259
-14.50584,14,6.683782
-40.912223,37,6.717842
-64.732801,50,6.763913
-57.774701,50,6.817828
-63.028435,50,6.86691
-8.806241,9,6.875614
-65.076437,50,6.923313
-57.803752,50,6.977781
-62.237819,50,7.028872
-57.518046,50,11.439774
-64.416697,50,12.79821
-56.683155,50,14.174767
