#{"t_start": 1777837659.6582248, "env_id": "FetchReach-v4"}
r,l,t
-65.235395,50,0.870255
-61.595023,50,0.913533
-4.204327,5,0.917604
-56.573811,50,0.954679
-56.647022,50,0.991678
-57.30078,50,1.027817
-23.493538,23,1.045816
-56.767814,50,1.080816
-57.353146,50,1.120816
-56.439928,50,1.157031
-59.120297,50,1.195105
-56.166124,50,1.232807
-62.089272,50,1.273883
-55.09585,50,1.309963
-9.636624,10,1.318963
-29.060037,27,1.34209
-62.894788,50,1.385404
-57.559333,50,1.42448
-11.712719,12,1.433478
-61.047752,50,1.471906
-44.560892,41,1.508974
-55.821824,50,1.547053
-59.515342,50,1.589245
-61.523658,50,1.630324
-61.019356,50,1.671498
-56.200156,50,1.709726
-57.30891,50,1.747726
-56.887138,50,1.785726
-55.338263,50,1.836796
-65.872989,50,1.877893
-63.401531,50,1.916171
-64.261599,50,1.962237
-59.790854,50,2.003557
-55.840774,50,2.04261
-59.208083,50,2.08061
-60.97142,50,2.11961
-56.502566,50,2.162672
-60.785398,50,2.199746
-60.177945,50,2.237746
-65.124343,50,2.276889
-57.485844,50,2.31689
-55.294705,50,2.353112
-60.830949,50,2.394804
-10.491966,11,2.402804
-14.0848,14,2.415943
-54.862648,50,2.456088
-39.175706,36,2.488224
-60.524486,50,2.527442
-56.740649,50,2.573675
-61.167211,50,2.620996
-63.809718,50,2.657262
-55.070534,50,2.695393
-59.822055,50,2.737393
-55.486927,50,2.774711
-58.346499,50,2.815711
-61.438747,50,2.851797
-58.896249,50,2.892935
-58.86694,50,2.936164
-55.388255,50,2.973348
-60.728704,50,3.011418
-14.238469,14,3.025543
-48.242839,46,3.061701
-56.225732,50,3.098973
-56.881512,50,3.138042
-56.677669,50,3.179227
-57.504049,50,3.217226
-57.943795,50,3.255226
-64.234937,50,3.294301
-58.335179,50,3.334376
-58.373506,50,3.371661
-15.37504,15,3.38466
-57.127362,50,3.421659
-60.749679,50,3.463807
-63.55635,50,3.504969
-63.875395,50,3.545475
-61.064017,50,3.582625
-59.831931,50,3.630815
-57.242175,50,3.668888
-61.442524,50,3.708035
-57.273559,50,3.745106
-58.737157,50,3.786175
-56.482367,50,3.827363
-58.59939,50,3.867363
-54.63845,50,3.904508
-57.502615,50,3.949602
-60.552718,50,3.987602
-29.501522,27,4.009603
-18.39308,18,4.022602
-5.235386,6,4.030602
-63.453611,50,4.078605
-58.000385,50,4.182603
-56.600369,50,4.243694
-60.126889,50,4.294694
-56.143256,50,4.340852
-61.766274,50,4.38411
-57.880956,50,4.43638
-56.159945,50,4.488757
-61.026906,50,4.531834
-58.323364,50,4.569038
-58.888292,50,4.612151
-63.038383,50,4.653154
-14.08584,14,4.666703
-39.802223,37,4.695703
-63.232801,50,4.734705
-56.274701,50,4.77578
-61.528435,50,4.816912
-8.536241,9,4.823912
-63.576437,50,4.863977
-56.303752,50,4.907146
-60.737819,50,4.952467
-56.018049,50,6.614017
-62.913447,50,7.066367
-55.176882,50,7.539376
-64.022765,50,7.934488
-5.30017,6,7.991488
-55.435596,50,8.431334
-59.482048,50,8.843705
-55.599703,50,9.262674
-58.659827,50,9.6874
-63.379929,50,10.125705
-59.405,50,10.56313
-57.428932,50,10.966347
-58.23728,50,11.387066
-8.366505,9,11.456563
-57.527099,50,11.887956
-57.366265,50,12.30176
-62.922554,50,12.742688
-59.913883,50,13.210122
-62.275658,50,13.694248
-29.681477,29,14.2562
-61.460174,50,14.935233
-55.897632,50,15.521321
-39.087718,37,16.109091
-57.673389,50,16.647573
-55.720396,50,17.298467
-64.885,50,17.996137
-62.518512,50,18.540991
-56.592214,50,19.039533
-16.461317,16,19.180044
-55.573567,50,19.652347
-58.064011,50,20.145978
-62.660242,50,20.793909
-57.376482,50,21.265463
-54.865349,50,21.729253
-56.455441,50,22.212992
-54.963514,50,22.663622
-62.277395,50,23.140671
-60.037512,50,23.588416
-57.266128,50,24.074178
-59.256082,50,24.54522
-56.007514,50,24.984983
-19.903797,20,25.172997
-59.075489,50,25.654054
-58.29787,50,26.122089
-58.721375,50,26.602879
-68.257409,50,27.068881
-60.469833,50,27.538987
-63.284317,50,28.065608
-64.704223,50,28.561607
-4.281931,5,28.612607
0.0,1,28.630683
-5.24713,6,28.685682
-3.093892,4,28.73319
-0.013544,1,28.74219
0.0,1,28.756191
-58.702376,50,29.255328
-59.407392,50,29.758328
-58.966629,50,30.282376
-60.880569,50,30.805375
-63.865396,50,31.300969
-57.733964,50,31.771972
-62.563588,50,32.273557
-55.48768,50,32.741557
-57.940494,50,33.222557
-13.279345,13,33.348067
-22.350591,22,33.571067
-58.870719,50,34.069069
-10.556147,11,34.173067
-61.613238,50,34.672647
-61.51757,50,35.177644
-55.801155,50,35.639156
-29.533504,28,35.900155
-12.943585,13,36.026156
-6.390082,7,36.100157
-9.59782,10,36.194156
-60.981862,50,36.686155
-0.01378,1,36.697156
-55.879862,50,37.199808
-57.639518,50,37.713809
-60.036404,50,38.272622
-59.340307,50,38.760167
-59.497409,50,39.271673
-58.415137,50,39.766743
-48.208653,44,40.218251
-57.244666,50,40.764251
-54.206452,50,41.244251
-61.956176,50,41.745759
-54.392977,50,42.227818
-1.054526,2,42.244821
-60.077454,50,42.722403
-59.489202,50,43.194727
-59.144695,50,43.643233
-59.026649,50,44.107709
-7.324818,8,44.189708
-58.831346,50,44.649975
-57.447995,50,45.172104
-56.450929,50,45.693104
-57.775344,50,46.181611
-59.69029,50,46.651731
-60.3157,50,47.113237
-56.182211,50,47.574448
-62.847113,50,48.050719
-1.049704,2,48.07772
-54.769602,50,48.565338
-56.373478,50,49.028338
-54.50523,50,49.515957
-1.063143,2,49.537955
-60.165739,50,50.007014
-54.709739,50,50.47378
-60.964542,50,51.002854
-59.099898,50,51.512925
-61.799415,50,52.013553
-54.55757,50,52.482554
-58.571009,50,52.967061
-63.95024,50,53.432203
-59.145504,50,53.927873
-1.061586,2,53.952872
-53.40698,50,54.448018
-60.931422,50,54.950016
-61.045028,50,55.43679
-56.298017,50,57.296001
-7.450441,8,57.373001
-55.68791,50,57.829001
-55.858794,50,58.335001
-55.278778,50,58.842649
-60.936961,50,59.315804
-59.157463,50,59.77731
-57.094362,50,60.259313
-63.24844,50,60.73182
-56.761222,50,61.208817
-32.322662,30,61.514912
-59.651014,50,61.991609
-57.230333,50,62.467609
-14.888908,15,62.624609
-57.937628,50,63.132283
-17.44273,17,63.293282
-59.563706,50,63.753283
-23.742622,23,63.992283
-63.42657,50,64.48179
-37.684943,36,64.822893
-58.073487,50,65.291893
-58.899395,50,65.740399
-48.096467,45,66.165895
-55.883945,50,66.666404
-58.350639,50,67.167404
-56.808137,50,67.715274
-56.727321,50,68.221478
-4.180998,5,68.270665
-29.458064,29,68.593665
-56.454682,50,69.104173
-55.90106,50,69.579173
-5.359615,6,69.636172
-8.705037,9,69.720171
-59.579611,50,70.207132
-56.530502,50,70.694448
-54.715913,50,71.173957
-59.255923,50,71.649204
-14.097844,14,71.784203
-25.64094,25,72.035203
-18.169831,18,72.221203
-58.022687,50,72.693821
-21.034999,20,72.886959
-23.942191,23,73.123961
-29.845959,28,73.382962
-57.150125,50,73.864468
-8.665821,9,73.948469
-55.822759,50,74.450466
-55.020511,50,74.931974
-39.500456,38,75.3052
-54.418194,50,75.777705
-1.037673,2,75.801705
-34.626579,32,76.114705
-45.304546,43,76.528705
-56.215164,50,77.013212
-6.488123,7,77.087213
-50.424554,47,77.534213
-7.628242,8,77.608212
-4.162094,5,77.652212
-33.308957,32,77.966449
-4.270364,5,78.013449
-17.64638,17,78.194956
-55.213718,50,78.723958
-55.356139,50,79.245464
-4.181785,5,79.294465
-8.428394,9,79.389465
-56.404842,50,79.887586
-54.417776,50,80.388092
-17.270692,17,80.562092
-16.075094,16,80.708091
-11.566871,12,80.820092
-13.880421,14,80.956093
-55.078855,50,81.435224
-13.82467,14,81.575737
-22.160716,21,81.787736
-14.106785,14,81.936739
-0.012602,1,81.947736
-12.937012,13,82.071895
-49.592729,46,82.493003
-11.811034,12,82.601999
-20.390776,20,82.788506
-7.2572,8,82.861506
-4.293629,5,82.904505
-30.278449,29,83.203506
-3.206769,4,83.241505
-24.168756,23,83.470505
-16.997413,17,83.635508
-53.270344,50,84.10907
-41.585987,40,84.51007
-2.062936,3,84.538071
-27.566318,26,84.781072
-29.762457,29,85.061579
-41.781016,40,85.441579
-23.71556,23,85.647579
-9.682963,10,85.733579
-43.536223,42,86.112297
-34.12751,33,86.426376
-33.716085,33,86.727376
-18.336369,18,86.893376
-12.744514,13,87.025377
-29.113005,28,87.324888
-8.305584,9,87.421884
-18.535337,18,87.591884
-9.682386,10,87.687885
-5.497112,6,87.740884
-1.024752,2,87.759884
-5.353433,6,87.809884
-12.654394,13,87.938884
-17.432992,17,88.100885
-19.616202,19,88.275885
-21.338637,21,88.477394
-10.607968,11,88.586394
-13.826333,14,88.735478
-3.233867,4,88.776479
-2.070086,3,88.802478
-5.340849,6,88.87148
-10.529991,11,88.98884
-8.626396,9,89.06884
-31.09629,30,89.346838
-20.156973,20,89.549345
-3.173293,4,89.588503
-1.03253,2,89.608503
-5.363266,6,89.671503
-27.302027,27,89.9257
-11.809595,12,90.045699
-11.721473,12,90.163699
-5.333983,6,90.221701
-8.571871,9,90.314699
-14.064276,14,90.446699
-2.131432,3,90.475701
-22.206709,22,90.69621
-8.492911,9,90.797212
-6.284078,7,90.861209
-17.14796,17,91.01421
-6.465694,7,91.075211
-4.266404,5,91.134209
-45.256538,43,91.521209
-14.725083,15,91.656209
-23.487614,23,91.86572
-4.273219,5,91.918716
-5.32978,6,91.974801
-4.231301,5,92.027799
-9.55241,10,92.115798
-3.164321,4,92.1638
-2.083846,3,92.190799
-5.321555,6,92.245987
-2.102473,3,92.272987
-11.608502,12,92.383987
-5.283595,6,92.435987
-4.34935,5,92.479986
-23.154671,22,92.687988
-10.849963,11,92.796987
-10.626815,11,92.90399
-8.398305,9,92.987989
-7.459795,8,93.069501
-0.010951,1,93.082499
-4.319405,5,93.130499
-52.662741,50,93.591499
-5.165177,6,93.647499
-4.30903,5,93.6965
-5.363964,6,93.750566
-21.978875,22,93.946563
-2.148935,3,93.974564
-12.622154,13,94.098563
-16.950559,17,94.254071
-2.122206,3,94.283071
-12.734772,13,94.403071
-13.886082,14,94.532207
-2.10661,3,94.562205
-3.166757,4,94.597205
-4.21859,5,94.645206
-5.172099,6,94.703205
-0.005398,1,94.712205
-4.236289,5,94.759205
-9.458537,10,94.849205
-4.273284,5,94.899205
-15.817826,16,95.044205
-4.324233,5,95.090205
-13.796033,14,95.217205
-1.04342,2,95.238207
-3.160143,4,95.279208
-9.435691,10,95.375712
-14.821275,15,95.533712
-3.099598,4,95.576712
-12.773091,13,95.700713
-1.049389,2,95.718711
-5.54244,6,95.774711
-4.319678,5,95.827711
-4.27744,5,95.876713
-4.382118,5,95.919714
-3.252201,4,95.956712
-3.139321,4,95.999711
-3.153222,4,96.040713
-2.087398,3,96.068712
-5.37324,6,96.119715
-6.448913,7,96.194712
-3.126047,4,96.233712
