#{"t_start": 1777829131.9267182, "env_id": "FetchReach-v4"}
r,l,t
-50.070132,50,0.889983
-49.992464,50,0.931983
-3.984066,5,0.935983
-49.929359,50,0.9721
-49.970086,50,1.009171
-49.957216,50,1.043234
-21.936011,23,1.059304
-49.974818,50,1.095374
-49.965102,50,1.135457
-49.966843,50,1.169531
-49.976482,50,1.208533
-50.08743,50,1.246531
-49.975296,50,1.284531
-50.006531,50,1.321724
-8.983836,10,1.328724
-25.928932,27,1.346952
-50.018287,50,1.386025
-49.960897,50,1.422211
-10.960354,12,1.43129
-49.991906,50,1.468436
-39.915019,41,1.504517
-50.013164,50,1.538909
-49.921621,50,1.576566
-49.974703,50,1.610756
-49.994051,50,1.65819
-49.985074,50,1.69219
-49.957278,50,1.726255
-50.017347,50,1.763443
-49.979372,50,1.801502
-50.088096,50,1.838621
-49.929042,50,1.875821
-49.973167,50,1.911196
-49.967688,50,1.948324
-49.966358,50,1.985591
-49.99329,50,2.019661
-50.0229,50,2.056934
-49.957202,50,2.096147
-49.967845,50,2.130222
-49.999738,50,2.165314
-49.992897,50,2.200314
-50.013711,50,2.240314
-49.97315,50,2.275356
-49.961068,50,2.312422
-9.981383,11,2.320422
-12.959308,14,2.332493
-49.974053,50,2.367609
-34.925877,36,2.391608
-49.972899,50,2.429678
-49.966946,50,2.466733
-49.991503,50,2.502733
-50.086829,50,2.537733
-49.969901,50,2.571796
-49.949523,50,2.60996
-49.976632,50,2.647156
-50.007524,50,2.682664
-50.035131,50,2.717792
-49.953295,50,2.757789
-49.962832,50,2.791858
-49.963982,50,2.826987
-49.950803,50,2.862987
-12.920198,14,2.874987
-44.921448,46,2.907987
-49.947714,50,2.941987
-50.039787,50,2.979989
-49.967313,50,3.017987
-49.966683,50,3.052119
-50.032398,50,3.088119
-49.9938,50,3.121195
-49.943971,50,3.158196
-50.00487,50,3.194196
-13.932247,15,3.205198
-49.96905,50,3.239255
-50.04068,50,3.278399
-50.031747,50,3.315398
-49.997709,50,3.35155
-50.032926,50,3.386553
-50.080142,50,3.423608
-50.018882,50,3.458608
-50.035133,50,3.494735
-49.946647,50,3.529739
-49.907822,50,3.566883
-49.976627,50,3.602007
-49.958883,50,3.638068
-49.974127,50,3.671068
-50.030796,50,3.708068
-49.971822,50,3.746113
-25.928011,27,3.765111
-16.947802,18,3.778111
-4.996882,6,3.784111
-49.976191,50,3.821685
-49.916938,50,3.858685
-49.938445,50,3.892686
-49.954882,50,3.931685
-49.975462,50,3.969929
-50.026639,50,4.04326
-50.007535,50,4.11063
-49.979306,50,4.170729
-49.990043,50,4.209727
-50.052079,50,4.244992
-49.995105,50,4.281135
-50.036672,50,4.321219
-12.957211,14,4.332217
-35.911431,37,4.357271
-50.059563,50,4.395269
-49.990722,50,4.433353
-50.03792,50,4.469553
-7.948265,9,4.475553
-49.952568,50,4.511801
-49.998523,50,4.548872
-50.02186,50,4.583937
-49.957772,50,6.167851
-50.000855,50,6.647471
-49.96427,50,7.137303
-50.002907,50,7.613147
-4.976061,6,7.669251
-49.969209,50,8.161253
-49.971753,50,8.640425
-49.996109,50,9.126708
-50.01572,50,9.60261
-50.01017,50,10.082764
-50.051681,50,10.574527
-49.968938,50,11.055548
-49.953383,50,11.54037
-7.956154,9,11.630211
-50.074746,50,12.1166
-49.97587,50,12.604433
-50.005242,50,13.085346
-49.972257,50,13.574092
-50.00459,50,14.060646
-27.949049,29,14.327416
-50.007092,50,14.812284
-49.972807,50,15.280789
-35.921858,37,15.641112
-49.95465,50,16.12935
-49.893382,50,16.608519
-50.001732,50,17.101148
-49.97115,50,17.583856
-49.96045,50,18.063448
-11.916679,13,18.184264
-49.940023,50,18.667566
-5.947109,7,18.741136
-50.034481,50,19.220871
-49.944628,50,19.704892
-1.995101,3,19.734892
-7.96732,9,19.824491
-50.087156,50,20.311121
-50.042983,50,20.791452
-50.005868,50,21.269465
-50.020157,50,21.759249
-49.959406,50,22.242066
-1.948613,3,22.272153
0.001666,1,22.282155
-49.947143,50,22.774841
-49.881793,50,23.259551
-49.989793,50,23.743813
-49.99316,50,24.223372
-50.005445,50,24.712923
-50.04131,50,25.193629
-50.062092,50,25.674994
-50.12117,50,26.165318
-50.053777,50,26.654372
-50.020502,50,27.140838
0.005429,1,27.150838
-3.974553,5,27.197992
-50.010389,50,27.676325
-49.993191,50,28.146696
-50.001177,50,28.622946
-49.945499,50,29.101077
-49.993552,50,29.593827
-50.033852,50,30.070288
-49.980335,50,30.555605
-50.015542,50,31.030767
-3.974303,5,31.087285
-50.026782,50,31.574938
-50.051235,50,32.052252
-50.026353,50,32.542473
-49.938024,50,33.030777
-49.988604,50,33.518727
-50.006079,50,34.002875
-50.012465,50,34.485756
-49.966924,50,34.990803
-50.045466,50,35.47289
-50.019013,50,35.950983
-49.991806,50,36.443659
-50.095804,50,36.935741
-50.055511,50,37.423481
-33.968667,35,37.752487
-50.027258,50,38.233353
-49.924959,50,38.715606
-49.934633,50,39.198376
-50.050459,50,39.677391
-3.962305,5,39.726547
-49.986589,50,40.209768
-2.982715,4,40.246768
-13.944563,15,40.393202
-49.984154,50,40.876951
-49.995034,50,41.35796
-25.951369,27,41.620417
-50.031805,50,42.111215
-49.9642,50,42.591218
-49.990637,50,43.084627
-50.002913,50,43.555877
-50.018233,50,44.038365
-50.013186,50,44.513255
-49.950448,50,45.006783
-50.099182,50,45.490446
-49.966786,50,45.966042
-50.046762,50,46.454303
-7.942721,9,46.544651
-50.011474,50,47.033987
-49.955939,50,47.516292
-50.059619,50,48.016328
-50.069709,50,48.508446
-50.01135,50,48.985443
-50.044357,50,49.466168
-49.97662,50,49.952005
-50.082899,50,50.439556
-50.017768,50,50.919509
-49.953619,50,51.408156
-49.995192,50,51.892035
-49.986044,50,52.378574
-50.064015,50,52.854077
-15.960406,17,53.017962
-50.005217,50,53.502163
-49.97747,50,53.984718
-49.943059,50,55.64688
-7.967774,9,55.731274
-50.046147,50,56.211898
-49.974567,50,56.700465
-49.953045,50,57.194555
-50.051093,50,57.682501
-49.998088,50,58.163398
-49.978032,50,58.65123
-49.971446,50,59.146595
-2.983415,4,59.184689
-49.940336,50,59.660035
-49.952345,50,60.153891
-50.015187,50,60.636265
-49.935999,50,61.12644
-49.957629,50,61.62372
-50.072409,50,62.129565
-50.007135,50,62.606849
-49.981152,50,63.094442
-16.96507,18,63.267543
-49.97647,50,63.772274
-20.93483,22,63.986241
-50.033884,50,64.466839
-50.066689,50,64.957268
-50.056685,50,65.442649
-50.024888,50,65.92673
-50.026251,50,66.405066
-50.003148,50,66.888501
-14.957695,16,67.047175
-50.012909,50,67.534793
-50.017556,50,68.019659
-49.959002,50,68.498017
-50.002949,50,68.999332
-50.052431,50,69.48233
-50.054465,50,69.964092
-50.055655,50,70.453032
-49.9267,50,70.944599
-4.961863,6,71.005155
-50.020503,50,71.486603
-50.036188,50,71.959339
-50.049667,50,72.449767
-7.96713,9,72.538629
-49.973981,50,73.022807
-50.058367,50,73.515484
-50.1045,50,74.014142
-49.991391,50,74.53039
-6.930256,8,74.60818
-49.953484,50,75.158142
-50.036295,50,75.727895
-50.034173,50,76.217481
-49.966463,50,76.671882
-50.057209,50,77.205329
-50.053407,50,77.671409
-49.979217,50,78.12363
-49.911781,50,78.607858
-49.970859,50,79.103304
-50.037278,50,79.596904
-49.986102,50,80.041824
-50.03266,50,80.539276
-50.062481,50,81.077176
-50.010559,50,81.59443
-49.996043,50,82.146819
-50.059164,50,82.631232
-50.020642,50,83.136108
-50.051253,50,83.613341
-49.968398,50,84.112852
-49.967932,50,84.667851
-49.96624,50,85.182361
-50.056839,50,85.655361
-50.042004,50,86.115361
-50.074608,50,86.606874
-49.988164,50,87.117872
-6.964553,8,87.191871
-50.038926,50,87.644379
-49.975424,50,88.108381
-50.013179,50,88.556886
-50.018761,50,89.001886
-49.980064,50,89.451886
-13.96265,15,89.605888
-9.932857,11,89.727398
-50.02677,50,90.2404
-50.100738,50,90.736398
-49.988339,50,91.232905
-49.982251,50,91.845905
-49.931282,50,92.479912
-11.945985,13,92.650621
-50.114767,50,93.449142
-50.05537,50,93.978622
-21.940118,23,94.236878
-50.069064,50,94.83509
-49.95546,50,95.56658
-16.990457,18,95.843444
-50.045681,50,96.756247
-49.960864,50,97.775859
-0.992206,2,97.812417
-50.005941,50,98.754434
-50.058278,50,99.813001
-50.09097,50,100.59461
-50.067591,50,101.275452
-50.065726,50,101.961834
-50.071526,50,102.676291
-50.148661,50,103.344166
-50.039108,50,104.025607
-50.101925,50,104.740005
-50.062333,50,105.554145
-50.02592,50,109.461826
-50.089412,50,112.462353
-50.034794,50,114.898969
-11.934228,13,115.322238
-50.01885,50,116.837551
-50.19598,50,118.526583
-50.087037,50,119.769738
-50.086244,50,121.091978
-50.08444,50,122.256464
-50.066696,50,126.147867
-22.915425,24,126.650656
-50.13991,50,127.813109
-50.081431,50,128.936467
-5.933885,7,129.082706
-0.004458,1,129.103738
-50.141503,50,130.176955
-4.973106,6,130.304186
-50.114257,50,131.497511
-50.013126,50,132.636863
-50.196506,50,133.858927
-50.137138,50,135.010032
-50.160147,50,136.200027
-50.154666,50,137.37224
-50.083154,50,138.629857
-49.999459,50,139.910525
-50.12981,50,141.102212
-50.139054,50,142.390552
-50.1569,50,144.023807
-50.14141,50,145.196813
-50.197338,50,146.336669
-50.035493,50,147.087692
-50.170159,50,147.59163
-50.177242,50,148.926435
-50.058001,50,151.514897
-50.152226,50,153.536043
-50.01894,50,155.590476
-50.032045,50,157.420556
-50.230981,50,159.208442
-50.118852,50,161.10196
-50.065964,50,163.019089
-50.129095,50,164.664494
-50.074863,50,166.796871
-50.066797,50,168.895206
-1.966179,3,169.038387
-50.063264,50,171.058396
-50.100826,50,173.083845
-50.159097,50,175.147686
-50.059187,50,177.316743
-50.090964,50,179.351521
-50.107721,50,181.404638
-50.05076,50,183.431273
-50.031562,50,185.591311
-50.094374,50,187.594877
-50.066088,50,189.484095
-50.058592,50,191.454691
-50.134949,50,193.431306
-50.002305,50,195.483021
-50.013254,50,197.56329
-50.021679,50,199.608168
-50.051535,50,201.793998
-50.105833,50,203.795642
-50.05487,50,205.683933
-50.057155,50,207.573225
-50.059611,50,209.75663
-50.025966,50,211.85804
-50.040616,50,213.876801
-50.070869,50,215.84345
-49.988383,50,217.996376
-50.103097,50,219.851006
-50.0192,50,221.735329
-50.05723,50,223.488799
-50.244532,50,225.379652
-50.220768,50,226.979825
-50.133277,50,228.690255
-50.067599,50,230.627674
-49.993564,50,232.656272
0.010397,1,232.696827
-9.914692,11,233.119332
-0.97279,2,233.215457
-50.056353,50,235.149087
-49.989081,50,236.607888
-49.946781,50,238.432311
-50.022912,50,240.347885
-50.084754,50,242.250684
-50.078786,50,244.112941
0.008425,1,244.154138
-49.997244,50,246.297689
-50.010999,50,248.234707
-50.008194,50,249.88993
-50.004846,50,251.455754
-50.001197,50,253.158977
-50.001277,50,255.112192
-50.016009,50,257.081057
-50.013486,50,259.177864
-3.926696,5,259.379
-49.933312,50,261.564579
-50.096231,50,263.687928
-50.123291,50,265.823361
-50.130965,50,267.917697
-50.141197,50,270.009897
-50.119288,50,272.069388
-50.065504,50,274.100654
-50.036134,50,276.12978
-50.163236,50,278.340799
-50.142993,50,280.137034
-50.089522,50,281.250894
-50.100187,50,282.205955
-50.075245,50,283.21372
-50.06602,50,284.175826
-50.076493,50,284.80799
-49.994179,50,285.450805
-50.037945,50,286.072732
-50.033592,50,286.745683
-49.975658,50,287.435623
-49.959094,50,288.104474
-50.023197,50,288.766887
-2.945489,4,288.820797
-50.089077,50,290.261043
-50.060788,50,300.244701
-50.106588,50,301.616847
-50.008962,50,302.804601
-49.979765,50,304.02369
-50.033266,50,305.240711
-50.060961,50,306.440592
-50.078153,50,307.640874
-49.99015,50,308.8848
-49.988019,50,309.845091
-50.02659,50,310.36395
-49.943649,50,310.862999
-50.04782,50,311.730128
-49.943426,50,312.959102
-50.025641,50,313.975798
-50.015261,50,315.204356
-50.039294,50,316.3691
-50.014857,50,317.540802
-49.980648,50,318.726168
-50.01803,50,319.944807
-49.964207,50,321.127755
-50.073889,50,322.31998
-50.002781,50,323.485894
-50.012671,50,324.726982
-49.991435,50,325.884264
-49.957065,50,327.025114
-50.001912,50,328.037749
-0.964909,2,328.078826
-49.979624,50,329.004935
-49.982899,50,330.90099
-50.060125,50,332.895823
-2.925549,4,333.053396
-49.909796,50,335.186907
-50.021505,50,337.000869
-49.986237,50,338.59236
-50.015558,50,340.446131
-49.978255,50,342.394765
-1.953491,3,342.490889
-49.924116,50,344.249902
-50.089576,50,346.052234
-49.917107,50,347.941156
-50.019528,50,349.769863
-50.050707,50,351.393056
-49.977389,50,353.105822
-50.041435,50,354.96769
-50.06851,50,356.911052
-3.926767,5,357.126211
-50.067025,50,359.059657
-50.004597,50,360.933222
-4.926227,6,361.128753
-50.046504,50,363.037796
-2.936828,4,363.189839
-50.048475,50,365.177789
-49.995563,50,367.002395
-50.001113,50,368.740381
-49.973443,50,370.639876
-49.993414,50,372.538876
-50.037806,50,374.429264
-50.014878,50,376.345146
-50.022869,50,378.326144
-50.05982,50,380.221049
-50.004504,50,382.173718
-50.017972,50,384.09089
-49.98527,50,385.988905
-50.053716,50,387.835876
-50.059298,50,389.684394
-49.953965,50,391.53703
-3.936509,5,391.733313
-49.999203,50,393.652104
-49.995005,50,395.631482
-50.023549,50,397.500837
-0.97184,2,397.57534
-49.998448,50,399.463858
-50.018885,50,401.283991
-49.989841,50,403.128806
-50.040546,50,405.035859
-50.020677,50,406.866864
-50.038983,50,408.690736
-0.002846,1,408.740316
-50.050856,50,410.625869
-49.977799,50,412.468926
-50.027084,50,414.305778
-50.048504,50,415.596728
-49.955529,50,417.455847
-50.051629,50,418.886001
-49.977297,50,420.022812
-49.923199,50,421.320729
-49.941421,50,422.568789
-0.985251,2,422.612352
-2.942398,4,422.733287
-49.986538,50,423.857069
-50.033258,50,424.803877
-49.947343,50,425.895596
-50.009403,50,426.872158
-49.983947,50,427.924741
-49.946622,50,429.23131
-50.02348,50,430.622283
-1.961234,3,430.688589
-50.053135,50,431.965925
-50.001251,50,433.373723
-49.99164,50,434.720892
-49.968721,50,436.047919
-49.972519,50,437.448009
