#{"t_start": 1775529807.928723, "env_id": "MountainCarContinuous-v0"}
r,l,t
-999.0,999,1.011362
-999.0,999,7.643273
-999.0,999,14.236909
-999.0,999,20.261108
-999.0,999,26.276791
-999.0,999,35.472812
-999.0,999,41.923757
-999.0,999,48.560682
-999.0,999,55.117726
-999.0,999,61.401365
-999.0,999,71.912994
-999.0,999,78.041279
-999.0,999,84.270756
-999.0,999,90.531186
-999.0,999,97.241231
-999.0,999,108.254754
-999.0,999,114.854011
-999.0,999,121.357862
-999.0,999,127.928721
-999.0,999,134.553451
-999.0,999,145.17857
-999.0,999,151.54003
-999.0,999,157.767576
-999.0,999,164.170071
-999.0,999,171.067377
-999.0,999,181.725718
-999.0,999,188.332068
-999.0,999,194.896442
-999.0,999,201.409999
-999.0,999,207.775913
