#{"t_start": 1775533932.1574602, "env_id": "MountainCarContinuous-v0"}
r,l,t
-33.011996,999,0.879499
-34.413789,999,6.842591
-32.620057,999,12.640984
-31.690594,999,18.578708
-31.958222,999,24.438219
-30.065539,999,30.301003
-29.667486,999,36.162978
-28.798269,999,42.102827
-25.76802,999,47.963101
-24.179464,999,53.811647
-21.45386,999,63.375556
-19.097572,999,69.26913
-14.633468,999,75.115786
-11.277931,999,80.970627
-8.705589,999,86.81442
-7.290512,999,92.639029
-5.685086,999,98.489376
-4.460253,999,104.328569
-3.027621,999,110.193753
-2.462282,999,116.08394
-1.964873,999,125.538426
-1.475691,999,131.41259
-1.377538,999,137.27873
-1.08624,999,143.148995
-0.930968,999,149.053895
-0.866372,999,154.92489
-0.764426,999,160.758323
-0.849688,999,166.683553
-0.765581,999,172.583145
-0.809563,999,178.441963
-0.78782,999,187.949208
-0.725971,999,193.808813
-0.752579,999,199.708298
-0.768682,999,205.545876
-0.779003,999,211.385566
-0.764664,999,217.282514
-0.799795,999,223.214832
-0.789254,999,229.134322
-0.812689,999,234.977109
-0.784881,999,240.903651
-0.77715,999,250.751178
-0.845787,999,256.651895
-0.767558,999,262.543575
-0.748585,999,268.43783
-0.797188,999,274.306379
-0.780722,999,280.177186
-0.775838,999,286.116921
-0.808102,999,291.938845
-0.857355,999,297.873922
-0.834366,999,303.736981
-0.844064,999,313.874814
-0.746545,999,319.794232
-0.753853,999,325.731759
-0.791905,999,331.600894
-0.75939,999,337.505411
-0.73279,999,343.383169
-0.784475,999,349.311935
-0.768204,999,355.176919
-0.811522,999,361.135891
-0.830806,999,367.044191
-0.77707,999,376.730201
-0.784637,999,382.705079
-0.821506,999,388.637743
-0.826357,999,394.58342
-0.851898,999,400.572377
-0.765421,999,406.552481
-0.794153,999,412.549138
-0.842052,999,418.552888
-0.709036,999,424.553657
-0.775713,999,430.561588
-0.72877,999,440.559397
-0.775528,999,446.603535
-0.731261,999,452.6197
-0.791676,999,458.586677
-0.771422,999,464.5532
-0.72046,999,470.578396
-0.786487,999,476.62467
-0.7985,999,482.628528
-0.793867,999,488.669775
-0.770203,999,494.750949
-0.785105,999,504.859505
-0.821322,999,510.921952
-0.714447,999,516.951194
-0.894079,999,522.984705
-0.818563,999,528.955178
-0.842651,999,535.009074
-0.8073,999,541.030428
-0.795226,999,547.209077
-0.720213,999,553.231828
-0.759948,999,559.273754
-0.771546,999,568.948033
-0.759324,999,574.984981
-0.804525,999,581.113461
-0.781048,999,587.197068
-0.75314,999,593.185752
-0.791803,999,599.170681
-0.770727,999,605.24298
-0.822105,999,611.24231
-0.855878,999,617.352498
-0.749077,999,623.352213
-0.775013,999,633.301798
-0.813028,999,638.957676
-0.835394,999,644.315168
-0.775769,999,649.651573
-0.778728,999,655.002183
-0.797081,999,660.370373
-0.795942,999,665.7383
-0.768716,999,671.169365
-0.816854,999,676.517942
-0.849879,999,681.911795
-0.725542,999,690.282421
-0.756019,999,695.62752
-0.894415,999,701.042494
-0.787726,999,706.446667
-0.844673,999,711.807605
-0.797338,999,717.182801
-0.870007,999,722.529404
-0.843755,999,727.887467
-0.785298,999,733.263609
-0.800662,999,738.634283
-0.758579,999,746.964862
-0.769459,999,752.407987
-0.847874,999,757.785772
-0.773226,999,763.162035
-0.794557,999,768.537055
-0.819965,999,773.957339
-0.759838,999,779.324281
-0.764149,999,784.709824
-0.732531,999,790.089686
-0.784858,999,795.503455
-0.829228,999,803.857803
-0.767011,999,809.280065
-0.799252,999,814.720467
-0.80878,999,820.086915
-0.785263,999,825.467847
-0.748051,999,830.876984
-0.780531,999,836.306414
-0.820015,999,841.780902
-0.839161,999,847.195881
-0.854297,999,852.598946
-0.847761,999,860.996166
-0.82031,999,866.430557
-0.795513,999,871.848333
-0.76628,999,877.251426
-0.79673,999,882.663919
-0.787328,999,888.059121
-0.774834,999,893.445917
-0.801776,999,898.841401
-0.803852,999,904.25984
-0.811903,999,909.657293
-0.804707,999,918.019599
-0.855254,999,923.428183
-0.748035,999,928.857387
-0.834853,999,934.273166
-0.742053,999,939.700069
-0.786033,999,945.125259
-0.768978,999,950.544521
-0.804913,999,955.986545
-0.788003,999,961.379833
-0.812596,999,966.801152
-0.802968,999,975.248456
-0.809766,999,980.633642
-0.856443,999,986.067716
-0.850446,999,991.460385
-0.755671,999,996.871767
-0.830554,999,1002.291976
-0.81389,999,1007.699259
-0.819964,999,1013.08672
-0.766733,999,1018.520019
-0.805749,999,1023.931868
-0.747866,999,1032.367465
-0.786618,999,1037.808677
-0.765037,999,1043.225794
-0.817674,999,1048.627997
-0.898249,999,1054.020838
-0.759812,999,1059.445459
-0.759161,999,1064.84906
-0.844052,999,1070.257841
-0.872617,999,1075.666394
-0.740423,999,1081.06193
-0.753377,999,1089.480592
-0.755447,999,1094.919972
-0.771011,999,1100.341536
-0.785957,999,1105.729182
-0.747068,999,1111.110804
-0.774646,999,1116.489052
-0.758192,999,1121.897502
-0.752543,999,1127.299117
-0.787246,999,1132.687505
-0.816309,999,1138.123418
-0.816841,999,1146.528661
-0.823363,999,1151.910975
-0.778146,999,1157.314648
-0.764484,999,1162.671454
-0.779246,999,1168.076555
-0.772568,999,1173.508921
-0.771099,999,1178.953048
-0.770078,999,1184.388981
-0.795335,999,1189.783969
-0.82116,999,1195.170323
