#{"t_start": 1775539003.9078739, "env_id": "MountainCarContinuous-v0"}
r,l,t
-999.0,999,0.915801
-999.0,999,7.352238
-999.0,999,13.580094
-999.0,999,19.921842
-999.0,999,26.169783
-999.0,999,32.66467
-999.0,999,39.031805
-999.0,999,45.841367
-999.0,999,52.316385
-999.0,999,58.634965
-999.0,999,69.975348
-999.0,999,76.913697
-999.0,999,83.712443
-999.0,999,90.733265
-999.0,999,97.177084
-999.0,999,104.062125
-999.0,999,110.874988
-999.0,999,117.401508
-999.0,999,123.894978
-999.0,999,130.471149
-999.0,999,141.406074
-999.0,999,148.254975
-999.0,999,154.448761
-999.0,999,160.489165
-999.0,999,166.221136
-999.0,999,172.126407
-999.0,999,178.414729
-999.0,999,184.913878
-999.0,999,191.358541
-999.0,999,197.810237
-999.0,999,207.71632
-999.0,999,213.762203
-999.0,999,220.096056
-999.0,999,226.510435
-999.0,999,232.915135
-999.0,999,238.917705
-999.0,999,244.848614
-999.0,999,251.543728
-999.0,999,257.698277
-999.0,999,263.526794
-999.0,999,273.429348
-999.0,999,279.503401
-999.0,999,285.710581
-999.0,999,291.745288
-999.0,999,297.812281
-999.0,999,303.92498
-999.0,999,309.634246
-999.0,999,315.337891
-999.0,999,320.977989
-999.0,999,327.220881
-999.0,999,336.494614
-999.0,999,342.868976
-999.0,999,349.504964
-999.0,999,356.155576
-999.0,999,362.523347
-999.0,999,368.437667
-999.0,999,374.377827
-999.0,999,380.412889
-999.0,999,386.407611
-999.0,999,392.421884
-999.0,999,402.799027
-999.0,999,409.651253
-999.0,999,416.456509
-999.0,999,422.993576
-999.0,999,429.933983
-999.0,999,436.595089
-999.0,999,443.065662
-999.0,999,449.398024
-999.0,999,455.876482
-999.0,999,462.329469
-999.0,999,473.206187
-999.0,999,480.133757
-999.0,999,486.990865
-999.0,999,493.937056
-999.0,999,500.872787
-999.0,999,507.51038
-999.0,999,514.222485
-999.0,999,520.928434
-999.0,999,527.551249
-999.0,999,534.442003
-999.0,999,545.495977
-999.0,999,552.321161
-999.0,999,559.284375
-999.0,999,566.252777
-999.0,999,573.021234
-999.0,999,580.057235
-999.0,999,587.224328
-999.0,999,593.79306
-999.0,999,600.309427
-999.0,999,607.084252
-999.0,999,618.320579
-999.0,999,624.871285
-999.0,999,631.584986
-999.0,999,638.103568
-999.0,999,644.843396
-999.0,999,651.794485
-999.0,999,658.513559
-999.0,999,665.059615
-999.0,999,671.711252
-999.0,999,678.635162
-999.0,999,689.478684
-999.0,999,696.686898
-999.0,999,703.498432
-999.0,999,710.408475
-999.0,999,717.374552
-999.0,999,723.980164
-999.0,999,730.530514
-999.0,999,737.212013
-999.0,999,743.833857
-999.0,999,750.380681
-999.0,999,761.558415
-999.0,999,768.238377
-999.0,999,775.119115
-999.0,999,781.631161
-999.0,999,788.236119
-999.0,999,794.796247
-999.0,999,801.480671
-999.0,999,808.19695
-999.0,999,815.051873
-999.0,999,821.675097
-999.0,999,832.653254
-999.0,999,839.215499
-999.0,999,845.694121
-999.0,999,852.287675
-999.0,999,859.099341
-999.0,999,866.082106
-999.0,999,873.051744
-999.0,999,879.68649
-999.0,999,886.285203
-999.0,999,892.931221
-999.0,999,904.189664
-999.0,999,910.964249
-999.0,999,917.929774
-999.0,999,924.795125
-999.0,999,931.395701
-999.0,999,938.223845
-999.0,999,945.103687
-999.0,999,952.337222
-999.0,999,960.325722
-999.0,999,966.904125
-999.0,999,977.507293
-999.0,999,983.992581
-999.0,999,990.402781
-999.0,999,997.313088
-999.0,999,1003.583642
-999.0,999,1009.409964
-999.0,999,1015.458531
-999.0,999,1021.267182
-999.0,999,1027.225305
-999.0,999,1032.980074
-999.0,999,1041.827517
-999.0,999,1047.619869
-999.0,999,1053.558088
-999.0,999,1059.31571
-999.0,999,1065.155776
-999.0,999,1071.070002
-999.0,999,1077.072482
-999.0,999,1082.847929
-999.0,999,1088.726462
-999.0,999,1094.566092
-999.0,999,1103.226296
-999.0,999,1109.084972
-999.0,999,1114.960133
-999.0,999,1120.897923
-999.0,999,1126.803297
-999.0,999,1132.637002
-999.0,999,1138.521866
-999.0,999,1144.322191
-999.0,999,1150.111053
-999.0,999,1155.920613
-999.0,999,1164.750448
-999.0,999,1170.534033
-999.0,999,1176.393592
-999.0,999,1182.200323
-999.0,999,1188.120799
-999.0,999,1193.938477
-999.0,999,1199.83692
-999.0,999,1205.706798
-999.0,999,1211.574285
-999.0,999,1217.440304
-999.0,999,1226.181106
-999.0,999,1232.037716
-999.0,999,1237.878439
-999.0,999,1243.870569
-999.0,999,1249.855022
-999.0,999,1255.756914
-999.0,999,1261.66176
-999.0,999,1267.611785
-999.0,999,1273.373541
-999.0,999,1279.350162
-999.0,999,1288.131463
-999.0,999,1294.03294
-999.0,999,1299.947252
-999.0,999,1305.764878
-999.0,999,1311.661754
-999.0,999,1317.63823
-999.0,999,1323.408421
-999.0,999,1329.233984
-999.0,999,1335.117985
-999.0,999,1340.962895
