#{"t_start": 1777824882.9594767, "env_id": "FetchPush-v4"}
r,l,t
-67.746125,50,0.934304
-63.998888,50,0.977454
-55.841189,50,1.017625
-60.731398,50,1.056625
-56.812795,50,1.098685
-57.691094,50,1.139969
-60.431071,50,1.180186
-54.491768,50,1.222417
-53.025354,50,1.267652
-60.235681,50,1.312787
-61.810357,50,1.35795
-63.159236,50,1.400184
-57.990458,50,1.446963
-58.522893,50,1.489199
-59.447543,50,1.53436
-64.581482,50,1.583575
-61.446261,50,1.628649
-63.117297,50,1.670855
-56.731709,50,1.715048
-0.012198,1,1.71605
-0.026337,1,1.720049
-61.234062,50,1.761048
-61.491707,50,1.805167
-57.214303,50,1.847341
-63.244314,50,1.890564
-56.082373,50,1.932801
-53.022947,50,1.972874
-57.330074,50,2.017948
-60.899277,50,2.062255
-59.634823,50,2.105255
-62.680951,50,2.145459
-53.299868,50,2.194595
-62.070845,50,2.241679
-57.425515,50,2.283005
-59.983703,50,2.326245
-60.252162,50,2.373845
-56.60419,50,2.418973
-61.180018,50,2.461118
-54.975843,50,2.503315
-54.404439,50,2.544389
-64.61279,50,2.592894
-0.047663,1,2.593894
-53.780844,50,2.63616
-59.277602,50,2.680417
-58.926172,50,2.723551
-61.308251,50,2.769032
-60.83618,50,2.810032
-59.373357,50,2.851194
-52.627967,50,2.89532
-60.470908,50,2.93759
-57.592051,50,2.97986
-54.226705,50,3.020004
-60.926472,50,3.064123
-55.379773,50,3.107187
-58.580498,50,3.148187
-58.161769,50,3.191395
-62.405176,50,3.237686
-58.352873,50,3.279756
-54.734496,50,3.323942
-56.762516,50,3.364095
-60.589422,50,3.408279
-60.822564,50,3.451464
-59.2932,50,3.492581
-63.558525,50,3.53476
-62.387694,50,3.581759
-57.331742,50,3.620886
-58.041036,50,3.6632
-55.543646,50,3.703783
-56.648623,50,3.753099
-0.029445,1,3.7541
-0.023397,1,3.756097
-61.065374,50,3.802097
-67.008491,50,3.849257
-52.765998,50,3.890427
-0.0431,1,3.892426
-0.046654,1,3.89349
-56.256334,50,3.936623
-54.994492,50,3.978908
-60.256065,50,4.019908
-56.916766,50,4.112354
-57.147373,50,4.193922
-61.87308,50,4.251009
-63.672918,50,4.300087
-61.329594,50,4.345087
-62.628455,50,4.397237
-55.624108,50,4.458304
-64.333203,50,4.512621
-54.410501,50,4.558619
-66.293601,50,4.60377
-56.298387,50,4.643849
-58.150834,50,4.684916
-58.81184,50,4.728295
-61.373071,50,4.77336
-71.074969,50,4.818023
-55.28666,50,4.863214
-61.740239,50,4.915354
-54.622775,50,4.960542
-58.365194,50,5.00162
-60.279857,50,5.046691
-62.982397,50,5.089819
-0.042793,1,5.093819
-63.277794,50,5.133947
-57.475336,50,5.186215
-57.604785,50,5.227548
-61.493932,50,5.272549
-59.846477,50,5.313548
-60.019225,50,5.356617
-59.250218,50,5.642238
-57.798906,50,6.093707
-52.611118,50,6.531779
-60.746659,50,6.962447
-61.730666,50,7.428511
-54.189892,50,7.888029
-0.012236,1,7.901098
-59.449115,50,8.379871
-77.387034,50,8.824754
-66.758313,50,9.265562
-56.201784,50,9.701937
-56.585318,50,10.139689
-55.518888,50,10.604772
-0.019187,1,10.617957
-53.765964,50,11.040679
-54.106443,50,11.469661
-60.713393,50,11.91373
-0.003094,1,11.92573
-56.484695,50,12.367695
-67.48255,50,12.799068
-60.867238,50,13.252261
-64.431068,50,13.702374
-64.422002,50,14.138311
-53.343656,50,14.595573
-56.047872,50,15.019893
-57.794474,50,15.474595
-60.461757,50,15.921314
-57.685803,50,16.382786
-60.464547,50,16.802516
-58.43258,50,17.242075
-54.736099,50,17.715231
-61.730328,50,18.17639
-0.041381,1,18.185555
-60.893124,50,18.630264
-54.37684,50,19.071869
-61.127505,50,19.555449
-65.04677,50,20.02168
-57.844458,50,20.510615
-55.9427,50,20.960544
-55.69965,50,21.417106
-58.814333,50,21.860808
-59.033431,50,22.32169
-54.978866,50,22.755812
-61.536266,50,23.208801
-58.289387,50,23.643446
-53.223838,50,24.06694
-58.885344,50,24.504839
-58.271112,50,24.933755
-0.043638,1,24.941755
-63.937499,50,25.388825
-54.339192,50,25.814588
-58.520707,50,26.259778
-65.212146,50,26.717626
-0.045143,1,26.729687
-57.887472,50,27.160416
-54.604216,50,27.615014
-60.773863,50,28.086281
