#{"t_start": 1777821915.0475135, "env_id": "FetchPush-v4"}
r,l,t
-50.0,50,1.053722
-50.0,50,1.10291
-50.0,50,1.145911
-50.0,50,1.193032
-50.0,50,1.243032
-50.0,50,1.29003
-50.0,50,1.342032
-50.0,50,1.39803
-50.0,50,1.453112
-50.0,50,1.499112
-50.0,50,1.550113
-50.0,50,1.595113
-50.0,50,1.643114
-50.0,50,1.690111
-50.0,50,1.735112
-50.0,50,1.789112
-50.0,50,1.838112
-50.0,50,1.883112
-50.0,50,1.931113
0.0,1,1.932112
0.0,1,1.936113
-50.0,50,1.981112
-50.0,50,2.025622
-50.0,50,2.069622
-50.0,50,2.120622
-50.0,50,2.165622
-50.0,50,2.213623
-50.0,50,2.257622
-50.0,50,2.305623
-50.0,50,2.350622
-50.0,50,2.395623
-50.0,50,2.443623
-50.0,50,2.490622
-50.0,50,2.537622
-50.0,50,2.586622
-50.0,50,2.631622
-50.0,50,2.679622
-50.0,50,2.723623
-50.0,50,2.769622
-50.0,50,2.815623
-50.0,50,2.863623
0.0,1,2.864621
-50.0,50,2.905623
-50.0,50,2.951622
-50.0,50,2.999623
-50.0,50,3.045622
-50.0,50,3.089622
-50.0,50,3.133622
-50.0,50,3.181977
-50.0,50,3.225975
-50.0,50,3.268975
-50.0,50,3.315251
-50.0,50,3.368251
-50.0,50,3.42825
-50.0,50,3.47625
-50.0,50,3.52125
-50.0,50,3.57025
-50.0,50,3.614249
-50.0,50,3.66325
-50.0,50,3.705513
-50.0,50,3.756513
-50.0,50,3.801512
-50.0,50,3.848513
-50.0,50,3.891511
-50.0,50,3.938511
-50.0,50,3.999515
-50.0,50,4.046512
-50.0,50,4.133512
-50.0,50,4.220513
0.0,1,4.222512
0.0,1,4.225513
-50.0,50,4.283514
-50.0,50,4.339512
-50.0,50,4.392023
0.0,1,4.394023
0.0,1,4.396022
-50.0,50,4.447025
-50.0,50,4.494023
-50.0,50,4.560023
-50.0,50,4.665023
-50.0,50,4.756198
-50.0,50,4.815199
-50.0,50,4.861197
-50.0,50,4.910197
-50.0,50,4.961198
-50.0,50,5.009197
-50.0,50,5.054198
-50.0,50,5.100621
-50.0,50,5.182621
-50.0,50,5.226619
-50.0,50,5.27262
-50.0,50,5.319621
-50.0,50,5.36962
-50.0,50,5.41962
-50.0,50,5.464619
-50.0,50,5.51862
-50.0,50,5.564622
-50.0,50,5.616251
