#{"t_start": 1777823530.100975, "env_id": "FetchPush-v4"}
r,l,t
-49.91127,50,0.913373
-49.930006,50,0.965631
-49.970794,50,1.00663
-49.94788,50,1.04563
-49.965936,50,1.08963
-49.961545,50,1.12963
-49.947845,50,1.17063
-49.97708,50,1.21163
-49.984873,50,1.256631
-49.948822,50,1.300776
-50.14586,50,1.349776
-49.934204,50,1.392778
-49.960048,50,1.439776
-49.957386,50,1.482776
-49.952762,50,1.524776
-49.927092,50,1.574776
-49.946689,50,1.625834
-49.934413,50,1.672153
-49.966342,50,1.717313
6.1e-05,1,1.718313
0.000132,1,1.721314
-49.956723,50,1.765713
-49.942541,50,1.808791
-49.963928,50,1.850037
-49.933778,50,1.895192
-49.969588,50,1.938269
-49.984885,50,1.98107
-49.96335,50,2.022544
-49.945504,50,2.073839
-49.951826,50,2.117988
-49.936596,50,2.158988
-49.983501,50,2.202215
-49.946527,50,2.248438
-49.962873,50,2.289578
-49.950081,50,2.334906
-49.948739,50,2.375049
-49.971295,50,2.423125
-49.9441,50,2.463414
-49.975121,50,2.504699
-49.977978,50,2.547924
-49.92614,50,2.603283
0.000238,1,2.605281
-49.981096,50,2.649281
-49.953612,50,2.699829
-49.955369,50,2.7459
-49.966626,50,2.791214
-49.945819,50,2.833766
-49.984092,50,2.879841
-49.98686,50,2.92292
-49.947646,50,2.96715
-49.94877,50,3.009414
-49.978866,50,3.049489
-49.945368,50,3.09464
-49.973101,50,3.136373
-49.957098,50,3.181446
-49.959191,50,3.231727
-49.937974,50,3.276873
-49.958236,50,3.320017
-49.976327,50,3.363234
-49.966187,50,3.405372
-49.947053,50,3.459643
-49.945887,50,3.502774
-49.953534,50,3.544909
-49.932207,50,3.585046
-49.938061,50,3.635381
-49.963341,50,3.676538
-49.959795,50,3.719625
-49.975022,50,3.764721
-49.966757,50,3.809801
0.000147,1,3.810803
0.000117,1,3.8128
-49.944673,50,3.857882
-49.958488,50,3.903883
-49.98617,50,3.947135
0.000215,1,3.949137
0.000233,1,3.950137
-49.968718,50,3.993221
-49.975028,50,4.037222
-49.94872,50,4.135421
-49.970447,50,4.199519
-49.964263,50,4.25718
-49.940635,50,4.304263
-49.931636,50,4.348358
-49.943352,50,4.401508
-49.936858,50,4.4576
-49.971879,50,4.50378
-49.928334,50,4.544098
-49.977948,50,4.590307
-50.093386,50,4.639458
-49.968508,50,4.680631
-49.959246,50,4.723861
-49.955941,50,4.766945
-49.949162,50,4.813945
-50.12515,50,4.857945
-49.973567,50,4.899945
-49.945311,50,4.943191
-49.976886,50,4.987353
-49.958174,50,5.029583
-49.948601,50,5.073807
-49.935088,50,5.114885
0.000214,1,5.118886
-49.933611,50,5.160886
-49.962623,50,5.20325
-49.961976,50,5.244498
-49.94253,50,5.289571
-49.950768,50,5.330732
-49.949904,50,5.373809
-49.953749,50,5.665994
-49.961006,50,6.104904
-49.986944,50,6.577496
-49.946267,50,7.019678
-49.940592,50,7.496611
-49.979051,50,7.982563
6.1e-05,1,7.990562
-49.952754,50,8.46719
-50.139548,50,8.919015
-49.947285,50,9.351187
-49.968991,50,9.787032
-49.967073,50,10.254842
-49.972406,50,10.686786
9.6e-05,1,10.701839
-49.98117,50,11.132132
-49.979468,50,11.570228
-49.946433,50,12.035434
1.5e-05,1,12.048433
-49.967577,50,12.503769
-49.912588,50,12.991922
-49.945664,50,13.423353
-50.001744,50,13.881314
-49.92789,50,14.307991
-49.983282,50,14.767992
-49.969761,50,15.199409
-49.961028,50,15.6401
-49.947691,50,16.117188
-49.961571,50,16.551996
-49.947677,50,17.009091
-49.957837,50,17.466053
-49.976319,50,17.92452
-49.957008,50,18.41404
0.000207,1,18.423225
-49.945534,50,18.880429
-49.978116,50,19.333673
-49.944362,50,19.770047
-49.931707,50,20.207376
-49.960778,50,20.656473
-49.970287,50,21.089671
-49.971502,50,21.520256
-49.955063,50,21.969733
-49.954833,50,22.414604
-49.975106,50,22.86624
-49.942319,50,23.324541
-49.958553,50,23.757609
-49.983881,50,24.205298
-49.955573,50,24.646094
-49.958644,50,25.107362
0.000218,1,25.118635
-49.930312,50,25.570162
-49.978304,50,25.997895
-49.957396,50,26.438791
-49.922041,50,26.878495
0.000226,1,26.893495
-49.960563,50,27.347617
-50.006633,50,27.830979
-49.946131,50,28.26559
-49.957345,50,28.715839
-49.931342,50,29.153866
-49.937553,50,29.591018
-49.927574,50,30.062964
-49.96454,50,30.594661
-49.952698,50,31.117607
-49.961983,50,31.625371
-49.912823,50,32.120507
-49.957387,50,32.60111
-49.965835,50,33.034294
-50.117063,50,33.533598
-49.980662,50,33.987776
-49.966349,50,34.443234
-49.986394,50,34.863745
-49.935654,50,35.314729
-49.959765,50,35.756102
-49.925398,50,36.186744
-49.964161,50,36.614748
-49.96009,50,37.06523
-49.985473,50,37.495618
-49.941596,50,37.937119
0.000126,1,37.946216
-49.938368,50,38.366867
-49.97404,50,38.805843
-49.969187,50,39.256188
-50.010077,50,39.683264
-49.980559,50,40.143076
-49.943591,50,40.582255
-49.91168,50,41.043154
-49.970474,50,41.489878
-49.947137,50,41.92365
-49.965067,50,42.348701
-49.96446,50,42.791878
-49.977781,50,43.227129
-49.955652,50,43.717372
-49.947974,50,44.154515
-49.974834,50,44.583967
-49.968331,50,45.035293
0.000121,1,45.044411
-49.965686,50,45.487643
-49.945705,50,46.017241
-49.948873,50,46.456168
-49.939672,50,46.889878
-49.977314,50,47.31721
-49.942394,50,47.762029
-49.970789,50,48.212396
