#{"t_start": 1777807888.1353078, "env_id": "FetchReach-v4"}
r,l,t
-66.735395,50,0.928134
-63.095023,50,0.975134
-4.354327,5,0.979135
-58.073811,50,1.065134
-58.147022,50,1.127134
-58.800781,50,1.170134
-24.183538,23,1.190134
-58.267814,50,1.230134
-58.853146,50,1.270641
-57.939928,50,1.309642
-60.620297,50,1.352643
-57.666125,50,1.391706
-63.589272,50,1.432706
-56.59585,50,1.468707
-9.936624,10,1.475706
-29.870037,27,1.494706
-64.394788,50,1.544706
-59.059333,50,1.584764
-12.072719,12,1.593764
-62.547752,50,1.632763
-45.790892,41,1.666763
-57.321824,50,1.70085
-61.015342,50,1.737228
-63.023658,50,1.773227
-62.519356,50,1.812227
-57.700156,50,1.848226
-58.80891,50,1.884227
-58.387138,50,1.918227
-56.838263,50,1.959227
-67.372989,50,1.998227
-64.901531,50,2.033226
-65.7616,50,2.069227
-61.290854,50,2.110227
-57.340774,50,2.147227
-60.708083,50,2.187228
-62.47142,50,2.229229
-58.002566,50,2.271227
-62.285398,50,2.309227
-61.677945,50,2.347227
-66.624343,50,2.38223
-58.985844,50,2.423736
-56.794705,50,2.461797
-62.33095,50,2.498883
-10.821966,11,2.506883
-14.5048,14,2.518883
-56.362648,50,2.555883
-40.255706,36,2.58694
-62.024486,50,2.624941
-58.240649,50,2.663941
-62.667211,50,2.701023
-65.309718,50,2.739022
-56.570534,50,2.774022
-61.322055,50,2.816022
-56.986928,50,2.851022
-59.846499,50,2.889022
-62.938747,50,2.925022
-60.396249,50,2.965022
-60.36694,50,3.002022
-56.888255,50,3.040023
-62.228704,50,3.076023
-14.655856,14,3.092022
-49.611173,46,3.126025
-57.725732,50,3.164022
-58.381512,50,3.201022
-58.177669,50,3.248023
-59.004049,50,3.284023
-59.443795,50,3.321022
-65.734937,50,3.355022
-59.835179,50,3.416022
-59.873506,50,3.451241
-15.82504,15,3.461241
-58.627362,50,3.497245
-62.249679,50,3.537751
-65.05635,50,3.577749
-65.375395,50,3.615749
-62.564017,50,3.652749
-61.331931,50,3.696903
-58.742175,50,3.732904
-62.942524,50,3.768959
-58.773559,50,3.806959
-60.237157,50,3.847959
-57.982367,50,3.885959
-60.09939,50,3.92333
-56.13845,50,3.960329
-59.002615,50,4.002329
