#{"t_start": 1777807858.2597125, "env_id": "FetchReach-v4"}
r,l,t
-50.140265,50,0.945748
-49.984929,50,0.986746
-3.968131,5,0.992748
-49.858718,50,1.029747
-49.940171,50,1.068747
-49.914432,50,1.103748
-21.872022,23,1.121747
-49.949635,50,1.157746
-49.930203,50,1.245327
-49.933686,50,1.308323
-49.952964,50,1.352323
-50.17486,50,1.395324
-49.950593,50,1.435324
-50.013063,50,1.474324
-8.967671,10,1.482324
-25.857863,27,1.503328
-50.036574,50,1.549324
-49.921794,50,1.592583
-10.920708,12,1.602584
-49.983813,50,1.646712
-39.830038,41,1.692711
-50.026328,50,1.732712
-49.843241,50,1.773112
-49.949406,50,1.810109
-49.988101,50,1.84911
-49.970147,50,1.886109
-49.914556,50,1.921108
-50.034693,50,1.956109
-49.958744,50,2.01411
-50.176192,50,2.05211
-49.858084,50,2.088109
-49.946333,50,2.12511
-49.935376,50,2.164109
-49.932716,50,2.234111
-49.986579,50,2.309109
-50.045799,50,2.361109
-49.914403,50,2.405111
-49.935689,50,2.44111
-49.999476,50,2.47811
-49.985793,50,2.521109
-50.027423,50,2.563109
-49.9463,50,2.599109
-49.922135,50,2.637113
-9.962766,11,2.645618
-12.918615,14,2.659618
-49.948106,50,2.699618
-34.851755,36,2.726618
-49.945798,50,2.763618
-49.933891,50,2.802618
-49.983006,50,2.842619
-50.173658,50,2.880618
-49.939802,50,2.917619
-49.899046,50,2.956618
-49.953265,50,2.99562
-50.015048,50,3.032618
-50.070261,50,3.067618
-49.906591,50,3.109618
-49.925664,50,3.147621
-49.927964,50,3.183617
-49.901606,50,3.220618
-12.840396,14,3.236619
-44.842895,46,3.320942
-49.895429,50,3.372941
-50.079573,50,3.411941
-49.934626,50,3.459284
-49.933367,50,3.495285
-50.064795,50,3.534284
-49.9876,50,3.574284
-49.887943,50,3.614283
-50.00974,50,3.650283
-13.864493,15,3.661283
-49.938101,50,3.698284
-50.08136,50,3.737283
-50.063495,50,3.777289
-49.995417,50,3.814795
-50.065852,50,3.853797
-50.160283,50,3.892795
-50.037764,50,3.930796
-50.070266,50,3.966796
-49.893295,50,4.002796
-49.815643,50,4.041872
-49.953254,50,4.07987
-49.917766,50,4.11487
-49.948253,50,4.15043
-50.061592,50,4.189428
-49.943644,50,4.227427
-25.856023,27,4.247429
-16.895603,18,4.262428
-4.993764,6,4.271428
-49.952382,50,4.312428
-49.833876,50,4.347429
-49.87689,50,4.382427
-49.909763,50,4.423428
-49.950925,50,4.458428
-50.053278,50,4.495428
-50.01507,50,4.535429
-49.958611,50,4.575428
-49.980086,50,4.610429
-50.104158,50,4.647428
-49.990209,50,4.684429
-50.073344,50,4.737428
-12.914421,14,4.748428
-35.822861,37,4.783427
-50.119126,50,4.820428
-49.981444,50,4.869428
-50.075839,50,4.90643
-7.89653,9,4.913428
-49.905136,50,4.950938
-49.997045,50,4.991938
-50.04372,50,5.031938
-49.915543,50,7.228853
-50.002156,50,7.788812
-49.928645,50,8.346569
-50.006885,50,8.910246
-4.952069,6,8.976398
-49.938996,50,9.529956
-49.943506,50,10.094956
