#{"t_start": 1777820753.686227, "env_id": "FetchReach-v4"}
r,l,t
-66.735395,50,1.23401
-63.095023,50,1.285317
-51.316692,50,1.338962
-69.605519,50,1.394155
-56.863843,50,1.452689
-57.528621,50,1.503909
-60.047765,50,1.560507
-60.019177,50,1.618795
-59.687845,50,1.678948
-63.764604,50,1.739036
-62.933458,50,1.79331
-57.11183,50,1.847896
-61.176447,50,1.900982
-59.02802,50,1.95354
-54.657891,50,1.99916
-64.858719,50,2.055511
-59.491669,50,2.112745
-59.836829,50,2.167897
-56.664549,50,2.230191
-65.864264,50,2.286474
-59.691242,50,2.34081
-57.138938,50,2.398756
-62.097429,50,2.45034
-63.949737,50,2.503923
-59.262183,50,2.556501
-58.555043,50,2.607923
-64.431343,50,2.65819
-57.340563,50,2.706295
-56.198722,50,2.767393
-61.803769,50,2.816441
-60.491963,50,2.871095
-64.628763,50,2.920801
-64.767549,50,2.975579
-57.916303,50,3.025239
-62.978602,50,3.081924
-55.772283,50,3.130993
-63.721289,50,3.195651
-65.964344,50,3.241793
-59.421759,50,3.301884
-65.813569,50,3.357969
-59.023242,50,3.418059
-57.361344,50,3.473786
-63.454782,50,3.526365
-59.32315,50,3.575522
-59.011021,50,3.636246
-60.378337,50,3.687404
-58.829622,50,3.737922
-59.495978,50,3.785478
-61.152305,50,3.84206
-58.21547,50,3.885664
-68.163448,50,3.931871
-59.67148,50,3.978934
-61.170889,50,4.033019
-56.104131,50,4.079081
-62.773914,50,4.128833
-60.245003,50,4.183943
-55.059633,50,4.238028
-63.596127,50,4.288102
-60.117077,50,4.33533
-62.214517,50,4.388904
-62.645085,50,4.445479
-58.941951,50,4.49806
-59.622668,50,4.550281
-59.209526,50,4.60693
-62.513387,50,4.68306
-61.274332,50,4.777977
-66.098883,50,4.859986
-59.492178,50,4.92108
-64.824993,50,4.981884
-64.22537,50,5.047005
-62.709039,50,5.095568
-61.116309,50,5.140299
-59.825118,50,5.196422
-58.002291,50,5.245482
-60.494944,50,5.301059
-61.181249,50,5.360303
-47.24065,50,5.418372
-49.801507,50,5.467051
-55.894034,50,5.520395
-56.836196,50,5.570126
-53.993818,50,5.623808
-50.484636,50,5.677907
-63.541163,50,5.731981
-55.393226,50,5.781062
-59.954855,50,5.834238
-61.052419,50,5.89213
-60.275185,50,5.937918
-60.108087,50,6.003984
-63.069671,50,6.072277
-62.703036,50,6.123854
-58.165119,50,6.167046
-66.512277,50,6.217203
-57.559249,50,6.277966
-60.693762,50,6.334039
-64.363066,50,6.383893
-60.538222,50,6.43647
-58.265028,50,6.490254
-59.742969,50,6.54582
-56.480917,50,6.596287
-60.934958,50,6.651072
-62.643155,50,10.37115
-55.135466,50,11.280927
-61.867361,50,12.114014
-56.839468,50,12.87531
-58.472533,50,13.652982
-61.922193,50,14.441
-60.594399,50,15.213883
-65.459601,50,15.980033
-62.149703,50,16.815351
-57.500134,50,17.662991
-66.601084,50,18.538172
-59.887516,50,19.365886
-64.542919,50,20.215534
-63.568797,50,21.02308
-56.28289,50,21.863672
-60.318004,50,22.728125
-61.931639,50,23.567822
-57.685012,50,24.405576
-63.879242,50,25.226822
-59.57138,50,26.029025
-57.646651,50,26.891046
-60.288045,50,27.753938
-62.314643,50,28.546836
-62.646894,50,29.341222
-56.826586,50,30.190084
-61.229385,50,31.004014
-56.168341,50,31.795678
-64.330116,50,32.649827
-59.003646,50,33.472029
-61.347092,50,34.266273
-63.03934,50,35.045328
-63.604104,50,35.842744
-59.408042,50,36.592294
-61.455175,50,37.350981
-57.182362,50,38.100032
-65.757586,50,38.855341
-60.541628,50,39.685473
-60.267653,50,40.54406
-59.416238,50,41.348006
-58.313021,50,42.176089
-59.995767,50,43.029868
-61.329025,50,43.865381
-62.225466,50,44.680491
-56.757318,50,45.456538
-38.441877,50,46.257739
-49.579182,50,47.022069
-63.894628,50,47.813966
-62.992834,50,48.635434
-50.961592,50,49.50426
-54.542941,50,50.287964
-57.665521,50,51.084046
-52.257411,50,51.850034
-59.395059,50,52.636233
-62.349623,50,53.453999
-61.358299,50,54.272885
-61.684597,50,55.078921
-62.251053,50,55.867888
-61.385813,50,56.659701
-56.000059,50,57.448213
-51.34019,50,58.243909
-53.397084,50,59.029315
-58.166122,50,59.847948
-54.514893,50,60.640049
-60.535413,50,61.441828
-57.125545,50,62.262978
-60.227202,50,63.072861
-55.13419,50,63.90408
-56.67041,50,64.745329
-43.902712,50,65.55532
-57.606746,50,66.354019
-58.984094,50,67.121157
-61.030987,50,67.951785
-57.207833,50,68.789947
-59.926509,50,69.597568
-62.808199,50,70.414381
-52.985063,50,71.199486
-59.215267,50,71.962123
-51.501784,50,72.733247
-58.68994,50,73.490702
-57.969614,50,74.287014
-55.319516,50,75.120541
-58.347943,50,75.961862
-53.490665,50,76.799032
-49.571748,50,77.621059
-59.111889,50,78.411047
-58.512931,50,79.167043
-55.615077,50,79.944019
-56.820638,50,80.713874
-59.029445,50,81.506344
-57.360882,50,82.288876
-54.863649,50,83.063175
-61.32999,50,83.858846
-44.812687,50,84.619294
-53.916483,50,85.357172
-57.572156,50,86.095551
-47.786179,50,86.84886
-59.372948,50,87.647296
-34.465237,50,88.468629
-57.205751,50,89.204521
-53.39307,50,89.931162
-58.254262,50,93.167379
-47.109143,50,93.926172
-56.251442,50,94.675346
-57.689108,50,95.429201
-52.332486,50,96.300856
-36.906983,50,97.099841
-57.462905,50,97.897152
-58.45454,50,98.711184
-55.259219,50,99.460936
-46.803581,50,100.204018
-56.489504,50,100.947858
-54.935876,50,101.695539
-50.89571,50,102.429981
-56.129335,50,103.185446
-50.678857,50,103.903165
-23.536583,50,104.653982
-19.193568,50,105.413172
-46.758739,50,106.229142
-43.309621,50,106.965512
-38.670007,50,107.707494
-48.961672,50,108.447713
-50.231328,50,109.21201
-38.47142,50,109.931402
-53.522098,50,110.661417
-56.640931,50,111.393039
-54.047717,50,112.14551
-44.679118,50,112.893936
-28.932896,50,113.619105
-53.334617,50,114.35905
-38.820987,50,115.087506
-36.208469,50,115.837522
-23.443643,50,116.570134
-31.071623,50,117.392847
-51.921265,50,118.109971
-25.322188,50,118.881882
-44.728272,50,119.657228
-19.486326,50,120.5239
-19.254926,50,121.367002
-24.485235,50,122.073921
-32.027046,50,122.805374
-23.42971,50,123.549245
-37.157508,50,124.307906
-47.124501,50,124.997848
-31.633064,50,125.80611
-23.498413,50,126.561005
-42.443333,50,127.256174
-35.991361,50,127.97706
-9.003554,50,128.685422
-47.135973,50,129.451038
-27.67738,50,130.229055
-30.723468,50,130.999825
-42.6747,50,131.849203
-14.887535,50,132.57102
-38.185657,50,133.263064
-14.246157,50,134.057108
-34.05611,50,134.87109
-27.738549,50,135.666257
-8.767479,50,136.452514
-17.124296,50,137.253939
-28.711129,50,138.126959
-20.554326,50,138.997994
-13.14922,50,139.903929
-27.628095,50,140.765697
-29.823555,50,141.925394
-12.900931,50,143.069542
-11.978653,50,143.927788
-41.225067,50,144.785971
-23.419447,50,145.694003
-29.72277,50,146.5902
-8.755864,50,147.467903
-12.008758,50,148.312011
-5.87661,50,149.109989
-13.931974,50,149.887022
-5.699385,50,150.642063
-11.057095,50,151.371026
-21.292135,50,152.175336
-7.800145,50,153.084092
-24.628961,50,154.008878
-6.991074,50,154.906383
