#{"t_start": 1777815202.6365285, "env_id": "FetchReach-v4"}
r,l,t
-50.0,50,0.947702
-50.0,50,0.987767
-46.0,50,1.022807
-50.0,50,1.060869
-49.0,50,1.100941
-50.0,50,1.140004
-50.0,50,1.179207
-50.0,50,1.217974
-50.0,50,1.259059
-50.0,50,1.296814
-50.0,50,1.332846
-50.0,50,1.374401
-50.0,50,1.41308
-50.0,50,1.449697
-46.0,50,1.486856
-50.0,50,1.522906
-50.0,50,1.566987
-50.0,50,1.603049
-50.0,50,1.641707
-50.0,50,1.677799
-50.0,50,1.71786
-50.0,50,1.755911
-50.0,50,1.793014
-50.0,50,1.83273
-50.0,50,1.872787
-50.0,50,1.912938
-50.0,50,1.950997
-50.0,50,1.989142
-50.0,50,2.030849
-50.0,50,2.066909
-50.0,50,2.10307
-50.0,50,2.144227
-50.0,50,2.185292
-50.0,50,2.222926
-50.0,50,2.260984
-50.0,50,2.29708
-50.0,50,2.338721
-50.0,50,2.376778
-50.0,50,2.414377
-50.0,50,2.451931
-50.0,50,2.492124
-50.0,50,2.529722
-50.0,50,2.568794
-50.0,50,2.617678
-50.0,50,2.658737
-50.0,50,2.695296
-50.0,50,2.732472
-50.0,50,2.770079
-50.0,50,2.809737
-50.0,50,2.845277
-50.0,50,2.882326
-50.0,50,2.918921
-50.0,50,2.959984
-50.0,50,3.000709
-50.0,50,3.036774
-50.0,50,3.075322
-49.0,50,3.114475
-50.0,50,3.151553
-50.0,50,3.186733
-50.0,50,3.230801
-50.0,50,3.271862
-50.0,50,3.305983
-50.0,50,3.341679
-50.0,50,3.377731
-50.0,50,3.415948
-50.0,50,3.454488
-50.0,50,3.491084
-50.0,50,3.528679
-50.0,50,3.569738
-50.0,50,3.60436
-50.0,50,3.640912
-50.0,50,3.677964
-50.0,50,3.716111
-50.0,50,3.752728
-50.0,50,3.788797
-50.0,50,3.822838
-43.0,50,3.864395
-44.0,50,3.900041
-49.0,50,3.938103
-50.0,50,3.974218
-48.0,50,4.014369
-45.0,50,4.049926
-50.0,50,4.111159
-50.0,50,4.194502
-50.0,50,4.252785
-50.0,50,4.292357
-50.0,50,4.334145
-50.0,50,4.372732
-50.0,50,4.417963
-50.0,50,4.453003
-50.0,50,4.48778
-50.0,50,4.526836
-50.0,50,4.564382
-50.0,50,4.599976
-50.0,50,4.637575
-50.0,50,4.672763
-50.0,50,4.712957
-50.0,50,4.74958
-48.0,50,4.785204
-50.0,50,4.829807
-50.0,50,7.454239
-47.0,50,8.171932
-50.0,50,8.785332
-50.0,50,9.435243
-50.0,50,10.019813
-50.0,50,10.60192
-50.0,50,11.188012
-50.0,50,11.76977
-50.0,50,12.325916
-50.0,50,12.883261
-50.0,50,13.461762
-50.0,50,14.041814
-50.0,50,14.627924
-50.0,50,15.212947
-50.0,50,15.777767
-50.0,50,16.340839
