#{"t_start": 1777818722.992978, "env_id": "FetchReach-v4"}
r,l,t
-50.070132,50,1.444368
-49.992464,50,1.501812
-46.01922,50,1.557878
-50.08381,50,1.614388
-48.944762,50,1.675998
-49.962868,50,1.753483
-50.002737,50,1.823372
-49.959525,50,1.880703
-50.053053,50,1.945498
-49.997814,50,2.010409
-50.036829,50,2.074027
-50.012375,50,2.129769
-50.023498,50,2.195378
-50.021402,50,2.255488
-46.034933,50,2.3104
-50.015464,50,2.373516
-49.963314,50,2.432377
-49.975372,50,2.48246
-49.973851,50,2.536542
-50.015086,50,2.590794
-49.95511,50,2.654504
-49.987354,50,2.721378
-49.985663,50,2.773459
-50.009587,50,2.825546
-49.94025,50,2.8825
-49.978227,50,2.938759
-49.94807,50,2.992441
-50.024673,50,3.049538
-50.000184,50,3.104546
-49.944319,50,3.156445
-49.951048,50,3.206529
-50.006608,50,3.266431
-49.987912,50,3.323542
-50.01446,50,3.374405
-49.980928,50,3.423481
-49.962544,50,3.477995
-50.028517,50,3.530725
-49.97409,50,3.583447
-49.977388,50,3.639035
-50.009322,50,3.691436
-50.009776,50,3.753535
-49.990543,50,3.803574
-49.995554,50,3.853528
-49.994693,50,3.903484
-50.00405,50,3.962203
-50.024705,50,4.013438
-49.976235,50,4.059509
-49.933738,50,4.106686
-49.981839,50,4.162501
-49.934435,50,4.208688
-49.984617,50,4.270365
-50.004005,50,4.339496
-49.917496,50,4.413431
-49.972212,50,4.469532
-50.000697,50,4.515922
-50.010022,50,4.575428
-48.990591,50,4.63635
-50.010346,50,4.694448
-49.933487,50,4.759582
-49.951963,50,4.926645
-50.016111,50,5.028913
-49.95763,50,5.089528
-50.011202,50,5.14954
-50.016022,50,5.216444
-49.944081,50,5.292421
-49.99055,50,5.490481
-50.034201,50,5.576358
-49.975736,50,5.646495
-50.0218,50,5.717786
-50.042178,50,5.77138
-49.993205,50,5.827873
-49.985603,50,5.87646
-49.952963,50,5.937764
-49.943124,50,5.986341
-50.002973,50,6.045447
-49.982426,50,6.094532
-42.985476,50,6.156455
-43.972205,50,6.210484
-48.968587,50,6.265574
-49.988416,50,6.326523
-47.931896,50,6.485562
-44.986973,50,6.556478
-49.993892,50,6.635455
-49.979766,50,6.711783
-49.979266,50,6.779533
-50.031462,50,6.836414
-49.998039,50,6.902545
-50.019174,50,6.968094
-50.069362,50,7.040328
-50.048011,50,7.110447
-49.975893,50,7.173556
-49.943909,50,7.243515
-49.98624,50,7.313408
-50.050382,50,7.374523
-49.976579,50,7.430297
-50.035116,50,7.481373
-50.017872,50,7.535448
-50.016805,50,7.582529
-48.052723,50,7.67182
-50.005283,50,7.74436
-50.00748,50,20.770158
-46.920461,50,23.132492
-49.983191,50,26.279891
-49.944369,50,29.507107
-49.99194,50,32.514326
-49.99613,50,35.22122
-50.010427,50,38.052387
-50.010573,50,40.906894
-50.070138,50,42.945448
-50.040687,50,44.825375
-49.999463,50,46.871383
-49.903967,50,49.115975
-50.083429,50,51.721372
-50.00703,50,54.660625
-49.980217,50,57.550743
-50.000719,50,60.269421
-49.946304,50,63.35053
-50.008804,50,66.360012
-50.032369,50,69.198455
-49.917763,50,71.369304
-49.99807,50,74.22153
-49.930895,50,76.920774
-49.994506,50,80.320724
-50.002814,50,83.260314
-50.005568,50,86.43426
-50.016361,50,89.72553
-49.994106,50,93.077876
-49.99756,50,96.475731
-50.019724,50,99.697873
-50.018222,50,103.113523
-50.042952,50,106.366311
-49.977107,50,109.59645
-50.006066,50,112.852425
-49.996164,50,116.032533
-49.943807,50,119.175566
-49.98023,50,122.063524
-50.027092,50,124.724024
-49.981972,50,127.518435
-49.94273,50,129.931816
-50.008817,50,131.656766
-50.007066,50,133.333476
-50.05489,50,135.848055
-50.028797,50,137.879426
-50.030257,50,140.64146
-37.966866,50,144.03986
-45.083441,50,147.32799
-50.022974,50,150.710466
-50.01014,50,154.051514
-46.956736,50,156.556378
-49.962999,50,159.512442
-49.960459,50,162.498903
-45.035403,50,165.75786
-49.978776,50,168.830184
-49.967943,50,172.003366
-50.028449,50,175.070433
-49.966328,50,178.095473
-49.999565,50,181.336504
-50.004806,50,184.524471
