#{"t_start": 1777820877.8931916, "env_id": "FetchReach-v4"}
r,l,t
-66.735395,50,1.069499
-63.095023,50,1.126607
-4.354327,5,1.133132
-58.073811,50,1.187003
-58.147022,50,1.246227
-58.800781,50,1.296931
-24.183538,23,1.320976
-58.267814,50,1.376108
-58.853146,50,1.43047
-57.939928,50,1.4842
-60.620297,50,1.540429
-57.666125,50,1.59612
-63.589272,50,1.659934
-56.59585,50,1.710005
-9.936624,10,1.720541
-29.870037,27,1.748591
-64.394788,50,1.803913
-59.059333,50,1.857184
-12.072719,12,1.870423
-62.547752,50,1.926602
-45.790892,41,1.979944
-57.321824,50,2.037517
-61.015342,50,2.093228
-63.023658,50,2.146957
-62.519356,50,2.205054
-57.700156,50,2.262255
-58.80891,50,2.310931
-58.387138,50,2.364054
-56.838263,50,2.41714
-67.372989,50,2.47688
-64.901531,50,2.532028
-65.7616,50,2.583089
-61.290854,50,2.636873
-57.340774,50,2.692198
-60.708083,50,2.738376
-62.47142,50,2.788392
-58.002566,50,2.836905
-62.285398,50,2.88948
-61.677945,50,2.943134
-66.624343,50,2.994937
-58.985844,50,3.045185
-56.794705,50,3.101873
-62.33095,50,3.155029
-10.821966,11,3.167042
-14.5048,14,3.183072
-56.362648,50,3.234812
-40.255706,36,3.269872
-62.024486,50,3.323949
-58.240649,50,3.380033
-62.667211,50,3.435108
-65.309718,50,3.482294
-56.570534,50,3.535963
-61.322055,50,3.593068
-56.986928,50,3.648426
-59.846499,50,3.700994
-62.938747,50,3.754076
-60.396249,50,3.806157
-60.36694,50,3.862042
-56.888255,50,3.911115
-62.228704,50,3.966859
-14.655856,14,3.985887
-49.611173,46,4.027442
-57.725732,50,4.072159
-58.381512,50,4.129504
-58.177669,50,4.182137
-59.004049,50,4.233104
-59.443795,50,4.275302
-65.734937,50,4.328906
-59.835179,50,4.383032
-59.873506,50,4.437189
-15.82504,15,4.451922
-58.627362,50,4.495982
-62.249679,50,4.553242
-65.05635,50,4.607028
-65.375395,50,4.656242
-62.564017,50,4.701127
-61.331931,50,4.756004
-58.742175,50,4.808583
-62.942524,50,4.860004
-58.773559,50,4.900614
-60.237157,50,4.957153
-57.982367,50,5.010194
-60.09939,50,5.062925
-56.13845,50,5.123024
-59.002615,50,5.202008
-62.052718,50,5.272138
-30.311522,27,5.308327
-18.93308,18,5.330873
-5.415386,6,5.340889
-64.953611,50,5.39855
-59.500385,50,5.454816
-58.100369,50,5.513922
-61.626889,50,5.58066
-57.643256,50,5.639162
-63.266275,50,5.684843
-59.380956,50,5.733908
-57.659945,50,5.792011
-62.526906,50,5.844093
-59.823364,50,5.894904
-60.388292,50,5.950989
-64.538383,50,6.007059
-14.50584,14,6.021091
-40.912223,37,6.062241
-64.732801,50,6.112899
-57.774701,50,6.170995
-63.028435,50,6.221122
-8.806241,9,6.230144
-65.076437,50,6.279905
-57.803752,50,6.335982
-62.237819,50,6.391074
-57.518046,50,9.464849
-64.416697,50,10.253021
-56.683155,50,11.00999
-65.518826,50,11.749989
-5.480525,6,11.839109
-56.920449,50,12.576166
-60.975173,50,13.405962
-57.104674,50,14.251236
-60.146646,50,15.122856
-64.885977,50,15.99089
-60.927607,50,16.905045
-58.944623,50,18.045195
-59.751967,50,19.067166
-8.635774,9,19.219534
-59.027303,50,20.05402
-58.862104,50,20.886994
-64.401379,50,21.732961
-61.414018,50,22.581009
-63.761768,50,23.390145
-30.559836,29,23.850909
-62.975848,50,24.656104
-57.3948,50,25.374063
-40.222408,37,25.90603
-59.176711,50,26.647343
-57.227222,50,27.382912
-66.319184,50,28.184991
-64.015499,50,29.049938
-58.069478,50,29.919574
-16.938726,16,30.181497
-57.203361,50,31.014026
-59.586077,50,31.862124
-64.151943,50,32.690511
-58.873917,50,33.517004
-56.363221,50,34.238491
-57.958478,50,34.964344
-56.459197,50,35.684253
-63.736912,50,36.42011
-61.602888,50,37.128604
-58.81342,50,37.840925
-60.772028,50,38.650353
-57.572561,50,39.506049
-20.487373,20,39.840995
-60.739626,50,40.687148
-59.827699,50,41.568694
-60.283684,50,42.427074
-69.748654,50,43.270778
-61.995279,50,44.106938
-64.754296,50,44.909563
-66.308443,50,45.68704
-4.431391,5,45.760243
-0.021582,1,45.781943
-5.424857,6,45.876143
-3.210171,4,45.943925
-0.043433,1,45.960971
-0.025398,1,45.984002
-60.187205,50,46.786221
-60.891045,50,47.512963
-60.446083,50,48.198511
-62.383239,50,48.861705
-65.404446,50,49.501801
-59.283802,50,50.199968
-64.090895,50,50.952335
-56.914376,50,51.759474
-59.437394,50,52.56941
-13.665344,13,52.763558
-22.995265,22,53.128568
-60.430758,50,53.999503
-10.885113,11,54.186648
-63.078023,50,55.034816
-62.938956,50,55.899425
-57.366185,50,56.768639
-30.370739,28,57.261539
-13.33741,13,57.467036
-6.600651,7,57.584907
-9.897417,10,57.755443
-62.553713,50,58.549918
-0.043627,1,58.565435
-57.365131,50,59.334886
-59.0619,50,60.097018
-61.442033,50,60.800107
-60.723783,50,61.597009
-60.828113,50,62.417058
-60.03522,50,63.217083
-49.553271,44,63.923846
-58.71329,50,64.779242
-55.565025,50,65.635006
-63.40093,50,66.449896
-55.862549,50,67.222076
-1.114821,2,67.252112
-61.50978,50,68.017
-60.956068,50,68.76873
-60.661399,50,69.530255
-60.429994,50,70.292102
-7.558549,8,70.424066
-60.257982,50,71.186038
-58.956373,50,71.930084
-57.831905,50,72.683576
-59.43972,50,73.391214
-61.334061,50,74.095046
-61.902031,50,74.78615
-57.629092,50,75.486987
-64.198335,50,76.201908
-1.109701,2,76.243976
-56.186644,50,76.977472
-57.803233,50,77.683001
-55.864587,50,78.383287
-1.122887,2,78.415875
-61.662943,50,79.118581
-56.274464,50,79.820199
-62.248965,50,80.575463
-60.520238,50,81.317099
-63.125468,50,82.080969
