#{"t_start": 1777815281.5333521, "env_id": "FetchReach-v4"}
r,l,t
-50.0,50,1.077529
-50.0,50,1.115081
-4.0,5,1.119092
-50.0,50,1.162281
-50.0,50,1.204088
-50.0,50,1.242282
-22.0,23,1.261048
-50.0,50,1.301105
-50.0,50,1.341669
-50.0,50,1.3813
-50.0,50,1.420951
-50.0,50,1.460058
-50.0,50,1.501956
-50.0,50,1.543163
-9.0,10,1.553179
-26.0,27,1.573854
-50.0,50,1.617417
-50.0,50,1.654079
-11.0,12,1.664097
-50.0,50,1.704151
-40.0,41,1.740354
-50.0,50,1.776029
-50.0,50,1.817586
-50.0,50,1.852913
-50.0,50,1.893968
-50.0,50,1.933015
-50.0,50,1.968646
-50.0,50,2.006081
-50.0,50,2.045632
-50.0,50,2.084839
-50.0,50,2.121892
-50.0,50,2.157526
-50.0,50,2.208605
-50.0,50,2.246279
-50.0,50,2.282916
-50.0,50,2.319961
-50.0,50,2.361099
-50.0,50,2.395138
-50.0,50,2.43219
-50.0,50,2.469938
-50.0,50,2.511989
-50.0,50,2.546162
-50.0,50,2.584321
-10.0,11,2.591977
-13.0,14,2.60499
-50.0,50,2.639545
-35.0,36,2.665146
-50.0,50,2.705936
-50.0,50,2.744067
-50.0,50,2.781117
-50.0,50,2.816151
-50.0,50,2.851934
-50.0,50,2.891985
-50.0,50,2.927529
-50.0,50,2.963151
-50.0,50,2.999302
-50.0,50,3.041442
-50.0,50,3.077585
-50.0,50,3.114132
-50.0,50,3.151283
-13.0,14,3.164011
-45.0,46,3.198555
-50.0,50,3.234101
-50.0,50,3.272913
-50.0,50,3.311969
-50.0,50,3.349518
-50.0,50,3.384117
-50.0,50,3.418659
-50.0,50,3.459904
-50.0,50,3.494947
-14.0,15,3.504958
-50.0,50,3.556099
-50.0,50,3.595154
-50.0,50,3.634018
-50.0,50,3.67592
-50.0,50,3.715974
-50.0,50,3.762888
-50.0,50,3.803947
-50.0,50,3.841072
-50.0,50,3.879123
-50.0,50,3.924198
-50.0,50,3.978517
-50.0,50,4.01757
