#{"t_start": 1777819031.4125705, "env_id": "FetchReach-v4"}
r,l,t
-50.070132,50,1.641907
-49.992464,50,1.705876
-3.984066,5,1.7149
-49.929359,50,1.785721
-49.970086,50,1.862889
-49.957216,50,1.938603
-21.936011,23,1.9687
-49.974818,50,2.026892
-49.965102,50,2.084848
-49.966843,50,2.140951
-49.976482,50,2.210567
-50.08743,50,2.276888
-49.975296,50,2.34826
-50.006531,50,2.424928
-8.983836,10,2.438453
-25.928932,27,2.481076
-50.018287,50,2.555685
-49.960897,50,2.626743
-10.960354,12,2.645286
-49.991906,50,2.711935
-39.915019,41,2.76115
-50.013164,50,2.817071
-49.921621,50,2.884377
-49.974703,50,2.954144
-49.994051,50,3.025946
-49.985074,50,3.084989
-49.957278,50,3.14673
-50.017347,50,3.200896
-49.979372,50,3.278339
-50.088096,50,3.352981
-49.929042,50,3.429925
-49.973167,50,3.503893
-49.967688,50,3.6457
-49.966358,50,3.760796
-49.99329,50,3.838209
-50.0229,50,3.915178
-49.957202,50,3.983016
-49.967845,50,4.04375
-49.999738,50,4.098972
-49.992897,50,4.151761
-50.013711,50,4.204042
-49.97315,50,4.263811
-49.961068,50,4.31704
-9.981383,11,4.331809
-12.959308,14,4.350845
-49.974053,50,4.409081
-34.925877,36,4.450809
-49.972899,50,4.49902
-49.966946,50,4.552732
-49.991503,50,4.608405
-50.086829,50,4.660441
-49.969901,50,4.71187
-49.949523,50,4.769007
-49.976632,50,4.819284
-50.007524,50,4.868364
-50.035131,50,4.920952
-49.953295,50,4.974921
-49.962832,50,5.032741
-49.963982,50,5.083326
-49.950803,50,5.143929
-12.920198,14,5.163962
-44.921448,46,5.212955
-49.947714,50,5.261794
-50.039787,50,5.330906
-49.967313,50,5.389152
-49.966683,50,5.44276
-50.032398,50,5.491351
-49.9938,50,5.540899
-49.943971,50,5.596714
-50.00487,50,5.650816
-13.932247,15,5.668337
-49.96905,50,5.720796
-50.04068,50,5.777381
-50.031747,50,5.832847
-49.997709,50,5.884137
-50.032926,50,5.933903
-50.080142,50,5.989069
-50.018882,50,6.036745
-50.035133,50,6.087336
-49.946647,50,6.138224
-49.907822,50,6.195896
-49.976627,50,6.251781
-49.958883,50,6.30713
-49.974127,50,6.384331
-50.030796,50,6.457162
-49.971822,50,6.523664
-25.928011,27,6.559737
-16.947802,18,6.580963
-4.996882,6,6.594987
-49.976191,50,6.655897
-49.916938,50,6.705709
-49.938445,50,6.764809
-49.954882,50,6.824817
-49.975462,50,6.877405
-50.026639,50,6.927608
-50.007535,50,6.979405
-49.979306,50,7.041996
-49.990043,50,7.107038
-50.052079,50,7.171723
-49.995105,50,7.236727
-50.036672,50,7.304771
-12.957211,14,7.320805
-35.911431,37,7.360867
-50.059563,50,7.425566
-49.990722,50,7.485086
-50.03792,50,7.543897
-7.948265,9,7.552916
-49.952568,50,7.608201
-49.998523,50,7.675328
-50.02186,50,7.73214
-49.957772,50,18.416929
-50.000855,50,21.588268
-49.96427,50,24.898204
-50.002907,50,28.133914
-4.976061,6,28.524835
-49.969209,50,31.733233
-49.971753,50,34.982901
-49.996109,50,37.702819
-50.01572,50,40.401632
-50.01017,50,43.382899
-50.051681,50,46.229934
-49.968938,50,48.97587
-49.953383,50,51.133685
-7.956154,9,51.61907
-50.074746,50,54.476748
-49.97587,50,57.336826
-50.005242,50,60.119889
-49.972257,50,63.149861
-50.00459,50,66.104792
-27.949049,29,67.934878
-50.007092,50,70.896583
-49.972807,50,74.200978
-35.921858,37,76.608572
-49.95465,50,79.838231
-49.893382,50,83.082806
-50.001732,50,86.44386
-49.97115,50,89.666853
-49.96045,50,92.988302
-11.916679,13,93.818824
-49.940023,50,97.10914
-5.947109,7,97.580109
-50.034481,50,100.7919
-49.944628,50,104.069751
-1.995101,3,104.251743
-7.96732,9,104.364027
-50.087156,50,105.444713
-50.042983,50,107.224822
-50.005868,50,109.338479
-50.020157,50,111.916813
-49.959406,50,115.032253
-1.948613,3,115.24171
0.001666,1,115.285771
-49.947143,50,117.110929
-49.881793,50,118.815371
-49.989793,50,121.524955
-49.99316,50,124.475815
-50.005445,50,127.450872
-50.04131,50,130.356885
-50.062092,50,133.661957
-50.12117,50,136.62017
-50.053777,50,139.811936
-50.020502,50,142.689718
0.005429,1,142.721277
-3.974553,5,142.979105
-50.010389,50,146.166914
-49.993191,50,149.137622
-50.001177,50,152.386769
-49.945499,50,155.806854
-49.993552,50,159.11917
-50.033852,50,162.273818
-49.980335,50,165.591887
-50.015542,50,168.870374
-3.974303,5,169.217108
-50.026782,50,172.546854
-50.051235,50,175.558125
-50.026353,50,178.564703
-49.938024,50,181.738497
-49.988604,50,184.919336
-50.006079,50,188.110952
-50.012465,50,191.288261
-49.966924,50,194.41172
-50.045466,50,197.442242
-50.019013,50,198.20174
-49.991806,50,199.854199
-50.095804,50,201.480841
-50.055511,50,203.230693
-33.968667,35,203.956769
-50.027258,50,204.953419
-49.924959,50,206.089083
-49.934633,50,207.119356
-50.050459,50,208.213897
-3.962305,5,208.319727
-49.986589,50,209.392183
-2.982715,4,209.490188
-13.944563,15,209.962409
-49.984154,50,210.972058
-49.995034,50,211.99579
-25.951369,27,212.647403
-50.031805,50,213.725706
-49.9642,50,215.058486
-49.990637,50,216.547964
-50.002913,50,217.794386
-50.018233,50,218.921193
-50.013186,50,221.938169
-49.950448,50,225.019337
-50.099182,50,226.857371
-49.966786,50,229.248221
-50.046762,50,230.998125
-7.942721,9,231.313603
-50.011474,50,232.670315
-49.955939,50,234.030826
-50.059619,50,235.452694
-50.069709,50,237.004766
-50.01135,50,238.653797
-50.044357,50,240.542783
-49.97662,50,242.568373
-50.082899,50,245.232805
-50.017768,50,247.32481
-49.953619,50,249.813884
-49.995192,50,252.091825
-49.986044,50,254.254772
-50.064015,50,256.63578
-15.960406,17,257.270654
-50.005217,50,259.674365
-49.97747,50,261.896013
-49.943059,50,268.744934
-7.967774,9,268.971017
-50.046147,50,270.282953
-49.974567,50,271.651755
-49.953045,50,273.024889
-50.051093,50,274.384814
-49.998088,50,276.075693
-49.978032,50,277.528442
-49.971446,50,279.11103
-2.983415,4,279.311115
-49.940336,50,280.810405
-49.952345,50,282.467005
-50.015187,50,284.202642
-49.935999,50,286.258536
-49.957629,50,288.623835
-50.072409,50,290.76481
-50.007135,50,293.358446
-49.981152,50,296.336719
-16.96507,18,296.974691
-49.97647,50,299.488443
-20.93483,22,300.0051
-50.033884,50,301.751811
-50.066689,50,303.538465
-50.056685,50,305.361845
-50.024888,50,307.159899
-50.026251,50,308.93575
-50.003148,50,311.049144
-14.957695,16,311.70932
-50.012909,50,313.875651
-50.017556,50,316.933919
-49.959002,50,320.305696
-50.002949,50,323.214099
-50.052431,50,326.01312
-50.054465,50,329.002879
-50.055655,50,332.259107
-49.9267,50,335.482908
-4.961863,6,335.888242
-50.020503,50,338.784848
-50.036188,50,340.952635
-50.049667,50,342.174789
-7.96713,9,342.396826
-49.973981,50,344.088285
-50.058367,50,345.172024
-50.1045,50,346.065898
-49.991391,50,347.336952
-6.930256,8,347.48395
-49.953484,50,348.263079
-50.036295,50,349.085899
-50.034173,50,349.896923
-49.966463,50,350.668994
-50.057209,50,351.47697
-50.053407,50,352.245837
-49.979217,50,353.069767
-49.911781,50,355.845846
-49.970859,50,358.999023
-50.037278,50,362.185962
-49.986102,50,364.223815
-50.03266,50,365.785976
-50.062481,50,367.374754
-50.010559,50,368.985695
-49.996043,50,370.56294
-50.059164,50,372.121714
-50.020642,50,373.705801
-50.051253,50,375.288538
-49.968398,50,376.836196
-49.967932,50,378.404845
-49.96624,50,379.997095
-50.056839,50,381.613912
-50.042004,50,383.240395
-50.074608,50,384.780914
-49.988164,50,386.364607
-6.964553,8,386.623729
-50.038926,50,388.176744
-49.975424,50,389.732915
-50.013179,50,391.33391
-50.018761,50,392.910521
-49.980064,50,394.479806
-13.96265,15,394.971783
-9.932857,11,395.301563
-50.02677,50,396.895819
-50.100738,50,398.51292
-49.988339,50,400.065009
-49.982251,50,401.669938
-49.931282,50,403.249962
-11.945985,13,403.674452
-50.114767,50,405.226743
-50.05537,50,406.800113
-21.940118,23,407.516935
-50.069064,50,409.139933
-49.95546,50,410.732637
-16.990457,18,411.311764
-50.045681,50,412.864039
-49.960864,50,414.443337
-0.992206,2,414.512738
-50.005941,50,416.062972
-50.058278,50,417.62709
-50.09097,50,419.252438
-50.067591,50,420.828382
-50.065726,50,422.442903
-50.071526,50,424.003068
-50.148661,50,425.554911
-50.039108,50,427.147244
-50.101925,50,428.735716
-50.062333,50,430.329892
-50.02592,50,431.813068
-50.089412,50,433.276701
-50.034794,50,434.706869
-11.934228,13,435.0811
-50.01885,50,436.498439
-50.19598,50,437.41895
-50.087037,50,438.14495
-50.086244,50,438.889461
-50.08444,50,439.555651
-50.066696,50,442.334242
-22.915425,24,442.643208
-50.13991,50,443.280758
-50.081431,50,443.899171
-5.933885,7,443.985358
-0.004458,1,443.997358
-50.141503,50,444.629369
-4.973106,6,444.706789
-50.114257,50,445.317616
